;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Column1;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Lousada;0;3;4;0;0;23;3;0;0;75;88;2;0;4;2;59;25;1;0;2;4;4;108;0;4;0;0;0;2;5;29;0;0;60;0;35;0;11;2;1;0;0;59;1;0;0;0;0;393;1;0;0;0;0;1;0;0;0;1;0;0;0;5;5;0;5;4;67;7
Vila Real;0;4;9;0;1;47;8;0;0;71;112;3;3;7;15;100;55;0;0;4;2;8;4;1;9;0;0;1;15;2;111;0;0;10;0;4;0;23;0;3;0;0;12;1;1;0;1;0;391;7;0;0;0;0;2;1;0;0;2;0;1;0;0;1;0;2;5;1255;20
Esposende;0;1;2;0;0;37;165;0;2;206;46;2;0;0;0;195;20;0;0;2;0;4;2;0;5;0;0;0;1;7;43;0;0;18;0;17;1;5;0;1;0;1;12;1;0;16;1;0;342;0;0;0;3;0;1;1;0;1;5;0;0;5;125;27;3;16;1;9;16
Chaves;1;3;6;1;0;57;2;0;1;106;144;0;1;1;104;144;47;0;0;4;0;6;1;0;6;1;0;0;2;4;60;0;0;13;0;11;0;27;0;0;0;1;15;0;0;0;1;0;301;1;0;0;1;0;1;0;0;0;1;0;0;0;7;4;0;0;3;171;15
Funchal;2;1;63;3;4;49;5;0;9;66;11;9;32;16;0;198;49;1;0;31;0;47;0;1471;12;0;0;1;2;13;998;0;0;4;0;3;1;2;5;48;2;4;5;1;8;0;3;2;281;0;10;0;15;0;1;19;0;1;5;0;0;2;8;2;0;0;5;31;18
São João da Madeira;0;4;2;2;1;130;0;0;0;19;6;2;0;2;0;128;30;0;2;1;0;3;0;0;4;0;0;0;1;4;50;0;0;13;0;12;0;2;0;1;14;1;6;0;0;2;1;0;264;0;0;31;0;0;2;0;0;0;1;0;0;0;1;3;0;0;11;5;17
Fafe;0;1;6;0;0;31;13;0;0;402;113;1;0;4;3;271;47;1;0;2;97;7;77;0;8;3;0;0;3;6;49;0;0;15;0;17;0;16;0;1;0;1;16;0;0;1;0;0;257;8;0;0;0;0;0;0;0;0;1;0;0;1;23;21;0;20;3;42;9
Vale de Cambra;0;6;3;1;0;115;1;0;0;19;6;0;0;2;1;144;21;1;0;3;0;0;0;0;11;0;0;0;1;7;32;0;0;4;0;11;1;1;0;1;14;0;1;0;0;0;0;0;256;0;2;26;2;0;3;0;0;0;3;0;0;0;3;6;0;0;6;13;29
Ponte de Lima;0;2;6;0;0;61;37;0;1;282;23;0;3;3;3;57;37;0;0;3;0;1;2;1;1;0;0;0;0;6;54;0;0;5;0;11;4;1;0;0;1;0;2;1;0;69;1;0;247;0;0;0;1;0;1;1;0;0;2;0;0;11;221;6;13;5;2;47;4
Arouca;1;1;0;0;0;72;2;0;0;16;7;1;1;2;0;74;9;0;0;0;0;0;2;0;2;0;0;0;0;4;15;0;0;4;0;26;0;0;0;0;8;2;4;1;0;0;0;0;231;0;0;15;0;0;0;1;0;0;2;0;0;0;4;2;0;0;6;12;23
Bragança;0;0;8;1;1;39;2;0;0;72;946;0;1;1;7;173;36;0;0;1;0;3;0;0;3;0;0;0;1;4;86;0;3;4;0;6;0;35;0;3;0;0;10;0;0;0;0;0;212;0;1;0;0;0;1;1;0;2;0;0;0;0;2;4;1;0;1;70;13
Coimbra;2;7;17;6;1;132;0;0;0;29;4;16;11;15;1;7110;62;3;0;21;0;18;0;1;8;1;0;1;0;33;511;0;0;2;0;9;0;3;0;19;2;19;6;8;8;1;4;1;206;1;3;0;2;0;14;1;0;0;8;0;0;1;0;1;0;0;1;24;49
Lamego;2;2;4;0;0;56;3;0;0;25;37;0;2;6;1;105;50;1;0;1;0;3;2;0;9;0;0;0;144;8;56;0;0;1;0;6;1;1;0;1;0;1;3;0;2;1;1;0;204;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;109;88
Lisboa;5;0;1223;156;3;55;4;25;10;40;13;69;315;34;1;157;53;4;0;147;0;106;0;7;16;0;0;3;1;27;24849;4;0;4;0;6;0;7;67;678;2;1;4;16;8;0;4;5;180;0;22;0;62;0;7;83;0;12;40;0;0;1;0;3;0;2;3;14;19
