,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal segundo o concelho do estabelecimento de ensino superior por concelho da residência permanente do aluno, em 2015/16 - Todos os níveis formação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Anadia, 0, 20, 3, 0, 0, 133, 0, 1, 0, 8, 6, 9, 3, 4, 0, 399, 25, 0, 0, 5, 0, 2, 0, 0, 4, 0, 0, 0, 2, 16, 55, 0, 3, 0, 5, 0, 0, 0, 4, 5, 3, 1, 0, 3, 2, 1, 1, 0, 45, 0, 1, 0, 3, 0, 6, 0, 0, 0, 5, 0, 0, 0, 0, 2, 0, 0, 4, 6, 29
Angra do Heroísmo, 0, 0, 30, 1, 197, 27, 1, 0, 7, 13, 2, 8, 1, 3, 0, 65, 15, 0, 0, 8, 0, 6, 0, 2, 1, 1, 0, 0, 0, 13, 345, 0, 4, 0, 1, 0, 5, 0, 7, 0, 0, 0, 0, 3, 107, 0, 1, 0, 66, 0, 4, 0, 5, 0, 0, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 7, 10, 1
Ansião, 0, 0, 5, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 10, 0, 191, 11, 0, 0, 3, 0, 5, 0, 0, 1, 0, 0, 0, 0, 53, 19, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 4, 0, 0, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Arcos de Valdevez, 0, 0, 3, 0, 0, 8, 11, 0, 0, 141, 8, 0, 0, 3, 0, 25, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 12, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 26, 0, 0, 60, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 81, 0, 1, 0, 0, 6, 1
Arganil, 0, 0, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 5, 15, 0, 0, 0, 1, 0, 0, 0, 2, 0, 12, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 8
Armamar, 0, 0, 1, 0, 0, 3, 0, 0, 0, 3, 9, 0, 0, 2, 0, 27, 4, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 6, 1, 5, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 20, 14
Arouca, 1, 6, 0, 0, 0, 85, 3, 0, 0, 14, 4, 1, 1, 4, 0, 75, 10, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 5, 13, 0, 4, 0, 13, 0, 0, 0, 0, 12, 1, 3, 1, 0, 0, 0, 0, 0, 195, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 24, 21, 17
Arraiolos, 0, 0, 9, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 2, 0, 2, 1, 0, 0, 101, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Arronches, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 4, 0, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Arruda dos Vinhos, 0, 0, 21, 1, 0, 0, 0, 0, 1, 0, 0, 5, 8, 1, 0, 3, 1, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 315, 0, 0, 0, 0, 0, 1, 1, 8, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 16, 0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
Aveiro, 1, 168, 7, 3, 0,1 946, 5, 0, 1, 41, 13, 3, 3, 14, 0, 565, 37, 0, 0, 10, 1, 8, 0, 0, 32, 0, 0, 0, 2, 13, 246, 0, 12, 0, 10, 1, 2, 2, 13, 28, 1, 15, 0, 2, 1, 0, 4, 0, 430, 0, 4, 14, 2, 0, 6, 2, 0, 0, 4, 0, 0, 0, 1, 6, 0, 0, 29, 29, 61
Avis, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 4, 0, 3, 1, 1, 0, 20, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 25, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Azambuja, 1, 0, 21, 0, 1, 0, 0, 0, 1, 0, 0, 5, 5, 5, 0, 3, 5, 1, 0, 15, 0, 2, 0, 0, 1, 0, 0, 0, 0, 4, 228, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 10, 0, 0, 2, 0, 2, 0, 10, 0, 81, 0, 0, 1, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
Baião, 0, 0, 1, 0, 0, 11, 2, 0, 0, 12, 29, 1, 0, 0, 0, 33, 11, 0, 0, 0, 0, 0, 16, 0, 2, 0, 0, 1, 9, 2, 7, 0, 17, 0, 20, 0, 5, 0, 2, 0, 0, 6, 0, 1, 0, 2, 0, 1, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 9, 57, 4
Barcelos, 0, 4, 6, 0, 0, 118, 856, 0, 0, 991, 44, 9, 2, 7, 0, 259, 75, 0, 0, 9, 1, 8, 9, 0, 17, 1, 0, 1, 0, 19, 106, 0, 39, 0, 34, 17, 6, 0, 1, 1, 1, 24, 0, 4, 0, 40, 3, 0, 697, 1, 0, 0, 2, 0, 5, 1, 0, 1, 3, 0, 0, 11, 271, 26, 2, 79, 37, 200, 12
Barrancos, 0, 0, 3, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Barreiro, 0, 1, 193, 6, 0, 1, 0, 63, 9, 4, 2, 4, 24, 1, 0, 10, 4, 0, 0, 25, 0, 9, 0, 0, 2, 0, 0, 1, 0, 4,1 354, 0, 1, 0, 0, 0, 0, 3, 42, 0, 1, 1, 0, 1, 0, 0, 5, 3, 8, 0, 6, 0, 2, 0, 0, 382, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
Batalha, 0, 0, 10, 0, 0, 17, 0, 0, 1, 1, 0, 6, 1, 5, 0, 74, 14, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 193, 142, 0, 0, 2, 0, 0, 0, 0, 9, 0, 0, 0, 0, 16, 0, 0, 0, 0, 16, 0, 1, 0, 4, 0, 1, 1, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1
Beja, 0, 0, 61, 1, 0, 2, 0, 1, 589, 0, 1, 1, 4, 3, 0, 33, 4, 3, 0, 78, 0, 55, 0, 0, 2, 0, 0, 0, 0, 4, 362, 0, 0, 0, 0, 0, 0, 1, 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9, 0, 1, 0, 1, 0, 1, 6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
Belmonte, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 20, 0, 13, 64, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 0, 1, 21, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 4, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
Benavente, 1, 0, 43, 0, 1, 4, 0, 1, 2, 1, 0, 2, 6, 3, 0, 18, 4, 1, 0, 26, 0, 6, 0, 0, 2, 0, 0, 1, 0, 8, 380, 0, 0, 0, 0, 0, 0, 1, 13, 0, 0, 0, 0, 4, 2, 0, 5, 0, 1, 0, 4, 0, 65, 0, 0, 13, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
Bombarral, 0, 1, 17, 0, 0, 12, 0, 0, 1, 3, 0, 17, 2, 2, 0, 25, 3, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 45, 128, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7, 1, 0, 1, 1, 3, 0, 4, 0, 14, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
