;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2019/20 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Seia;Setúbal;Silves;Sintra;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Ansião;0;0;3;0;0;0;8;0;0;0;2;0;1;3;8;0;183;11;0;4;0;6;0;0;4;0;0;0;66;44;0;0;0;0;0;0;2;0;1;0;0;3;0;0;0;0;5;2;0;1;1;0;0;0;10;0;0;0;0;1;2;4;3
Arcos de Valdevez;0;2;3;1;1;0;8;7;0;0;127;12;2;1;4;0;36;6;0;0;0;0;4;0;2;0;0;1;3;32;3;0;16;5;3;0;0;1;0;2;0;0;0;15;1;0;92;0;0;1;0;1;0;0;1;6;118;0;0;1;1;12;1
Arganil;0;0;1;0;0;0;4;0;0;0;1;0;2;1;1;0;162;5;0;0;0;0;0;0;2;0;1;0;3;18;0;0;0;0;0;0;1;0;14;0;0;5;0;0;0;0;9;0;0;0;0;2;0;0;0;0;0;1;0;0;1;2;9
Armamar;0;0;2;0;0;0;11;0;0;0;4;4;0;0;3;0;29;6;0;0;0;2;0;0;1;0;0;13;1;5;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;24;0;0;0;0;0;0;0;0;1;0;0;0;0;0;31;20
Arouca;0;0;1;0;0;0;66;2;0;0;4;4;0;1;0;0;77;13;0;1;0;0;2;0;4;0;0;5;2;11;9;0;22;1;0;0;0;22;0;1;0;0;0;0;1;0;207;0;26;0;2;0;0;0;2;1;0;20;0;0;13;15;26
Arraiolos;0;0;3;1;0;0;2;0;0;2;0;0;0;3;4;0;4;5;2;99;0;3;0;0;0;0;2;0;2;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Arronches;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;3;9;12;0;2;0;0;1;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;1;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0
Arruda dos Vinhos;0;0;30;1;0;0;0;0;0;1;0;0;5;12;2;0;3;2;0;4;0;2;0;0;0;0;0;0;4;397;0;0;1;0;1;1;6;0;0;0;0;4;0;0;3;0;3;7;0;29;0;5;0;0;2;0;0;0;0;0;0;0;0
Aveiro;4;165;8;4;0;0;2 219;2;1;0;34;21;9;18;21;0;622;66;0;7;1;7;4;0;28;0;0;9;23;279;17;1;13;1;4;0;18;37;7;11;0;5;3;2;2;0;440;8;8;3;5;1;0;1;1;1;0;4;0;0;31;28;65
Avis;0;0;3;0;0;0;1;0;0;5;0;0;0;1;5;0;5;0;1;20;0;4;0;0;0;0;3;0;3;13;0;0;0;0;0;0;2;0;0;0;0;0;0;0;12;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Azambuja;5;0;23;0;0;0;4;0;0;1;0;0;5;4;3;0;11;7;1;10;0;4;1;0;1;0;0;0;18;293;3;0;0;0;0;2;6;0;0;0;0;12;1;0;3;0;0;12;0;102;0;2;0;0;6;0;0;0;0;0;0;1;1
Baião;0;0;1;0;0;0;4;2;0;0;13;48;1;1;1;0;40;11;0;0;1;1;14;1;0;0;1;17;1;9;13;0;22;0;7;0;0;0;1;4;2;0;0;1;0;0;157;0;0;0;0;0;0;0;1;0;0;2;0;0;15;78;12
Barcelos;2;6;6;0;3;0;114;711;0;0;1 284;54;5;5;10;0;244;68;1;9;1;10;11;0;11;0;1;1;16;97;57;0;38;18;20;0;2;1;2;17;0;1;0;35;1;0;650;0;0;0;2;0;0;2;3;55;302;11;4;87;49;201;18
Barrancos;0;0;1;0;0;0;0;0;0;9;1;0;0;0;0;0;0;1;0;12;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barreiro;1;0;197;2;0;0;2;2;244;6;2;4;3;19;6;0;11;4;0;30;0;22;0;0;1;0;0;0;3;1 423;1;0;1;0;0;3;32;0;5;0;0;1;1;0;9;2;7;2;0;6;0;439;0;1;7;0;0;0;0;0;1;1;2
Batalha;4;0;14;1;0;0;16;0;0;0;3;2;13;2;5;0;54;8;0;6;0;4;0;1;2;0;0;1;202;151;1;1;1;0;0;0;9;0;0;0;0;16;0;0;4;0;18;4;0;6;1;2;0;0;7;0;0;0;0;0;1;5;2
Beja;0;0;57;0;0;0;4;0;0;678;2;0;2;11;6;0;26;3;3;138;0;60;0;1;1;0;0;0;5;367;0;0;0;0;1;0;14;0;0;0;0;1;1;1;4;0;7;4;0;0;0;9;3;1;3;0;0;0;0;0;0;4;0
Belmonte;0;1;1;0;0;0;6;0;0;0;1;1;1;1;28;0;14;57;0;5;0;0;0;0;15;0;4;0;0;14;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1
Benavente;4;0;34;1;0;1;5;0;0;1;2;2;7;10;12;1;21;8;0;22;0;6;0;0;3;0;1;0;13;427;0;0;0;0;0;3;11;0;0;0;0;4;0;0;5;2;3;10;0;75;0;13;0;0;9;0;0;0;0;0;0;1;2
Bombarral;1;0;9;1;0;0;5;0;0;1;3;0;16;3;4;0;23;3;0;7;0;6;1;0;2;0;0;0;45;145;0;1;0;0;0;0;5;0;0;0;0;21;0;0;2;2;6;6;0;19;0;1;0;0;0;0;0;0;0;0;0;0;0
Borba;0;0;8;0;0;0;1;0;0;2;0;0;0;3;5;0;2;3;11;32;0;6;0;0;2;0;0;0;2;49;0;0;0;0;0;0;2;0;0;0;0;0;0;0;19;0;3;2;0;2;0;10;0;0;0;0;0;0;0;0;0;0;0
Boticas;0;0;0;0;1;0;2;0;0;0;5;21;0;0;0;9;7;2;0;0;0;0;1;0;2;0;0;0;1;1;0;0;1;0;6;0;1;0;0;0;0;0;0;1;0;0;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0
Braga;2;2;6;4;83;0;96;892;0;5;5 822;54;3;25;11;0;310;91;0;13;18;12;15;2;4;0;0;1;16;312;87;0;43;44;21;0;12;3;3;32;0;0;6;43;3;0;892;2;0;2;3;3;0;2;10;29;199;12;3;189;38;127;19
Bragança;0;1;0;1;1;0;35;5;0;0;56;2 854;2;2;6;0;125;53;0;1;0;7;0;0;6;0;0;0;3;80;7;0;7;0;174;0;2;1;0;1;0;0;1;0;1;3;230;0;0;0;0;0;0;2;1;0;1;1;1;0;8;68;9
Cabeceiras de Basto;0;0;2;0;4;0;14;3;0;0;128;50;0;0;3;1;23;4;1;0;32;0;5;0;4;0;0;2;4;11;4;0;5;0;9;0;1;1;0;0;0;1;0;0;0;0;72;0;0;0;0;0;0;0;0;0;5;2;0;4;11;64;3
Cadaval;0;0;12;1;0;0;3;0;0;3;1;0;9;1;3;0;13;4;1;10;0;5;0;0;1;0;1;0;50;131;0;0;0;1;0;0;7;0;1;0;0;7;0;0;2;2;1;3;0;21;0;1;0;0;5;0;0;0;0;0;1;0;0
Caldas da Rainha;4;0;54;2;0;0;36;4;0;2;3;1;152;18;18;0;96;17;2;32;0;8;1;0;3;0;0;0;283;634;0;0;0;0;3;1;31;1;0;0;0;76;1;0;4;0;32;34;0;59;0;5;0;2;13;0;0;2;0;0;2;4;4
Calheta (R.A.A.);0;0;5;0;0;2;2;0;0;0;3;0;0;1;2;0;20;0;0;1;0;4;0;0;0;0;0;0;2;29;0;0;0;0;0;0;0;0;0;0;0;1;9;0;2;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Calheta (R.A.M.);0;0;2;0;0;0;0;0;0;0;6;1;1;0;1;0;19;3;1;2;0;6;0;89;0;0;0;2;4;39;0;0;2;0;0;0;1;0;0;0;0;2;0;0;1;0;38;4;0;3;0;1;0;0;0;0;0;1;0;0;2;4;1
Câmara de Lobos;1;0;11;0;0;0;12;0;0;1;17;0;1;0;12;0;60;16;3;13;0;9;1;375;2;0;0;0;8;155;0;0;3;0;1;0;3;0;1;1;0;2;4;0;1;0;70;3;0;0;1;2;0;0;0;0;0;1;0;0;5;10;3
Caminha;1;1;4;2;0;0;25;15;0;0;61;7;2;0;0;0;39;12;1;2;0;1;2;0;3;1;1;0;4;37;7;0;9;15;3;0;2;0;0;0;0;0;2;6;0;0;107;0;0;0;1;1;0;1;0;13;86;2;5;0;3;14;2
Campo Maior;1;0;10;0;0;0;0;0;0;5;0;0;0;1;16;0;12;8;14;39;0;6;0;0;5;0;0;0;7;66;0;0;0;0;0;0;3;0;0;0;0;0;0;0;54;0;0;0;0;1;1;8;0;0;0;0;0;0;0;0;0;0;0
Cantanhede;0;10;5;0;0;0;96;0;0;0;5;0;5;4;8;0;683;11;0;5;0;2;1;1;12;0;0;0;40;63;1;0;2;0;1;0;1;8;14;3;0;9;1;0;2;0;52;0;0;2;4;0;0;0;6;0;1;1;0;0;4;11;18
Carrazeda de Ansiães;0;1;1;0;0;0;5;0;0;0;5;48;0;0;3;0;10;5;0;1;0;0;1;0;1;0;0;0;0;6;0;0;1;0;13;0;0;0;1;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;1;1;20;4
Carregal do Sal;0;0;2;0;0;0;22;1;0;1;4;0;0;2;0;0;82;14;0;0;0;3;0;0;5;0;0;4;3;23;0;0;1;0;2;0;0;0;4;0;0;0;0;0;2;1;11;0;0;0;1;0;0;0;0;0;0;0;0;0;2;5;50
Cartaxo;0;0;30;3;0;0;10;0;0;2;2;1;13;11;6;0;17;4;2;21;0;6;0;0;0;0;2;1;27;292;0;0;0;0;0;1;7;0;0;0;0;14;1;0;4;2;9;13;0;179;0;1;0;0;9;0;0;0;0;0;0;5;2
Cascais;5;0;396;23;0;1;19;1;2;15;17;6;19;605;9;0;37;29;1;46;0;40;0;1;0;0;2;1;16;5 875;0;0;5;0;3;24;476;0;0;0;0;12;4;1;10;0;47;4;0;17;0;41;0;5;18;0;2;0;0;0;2;6;4
Castanheira de Pêra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;25;3;0;0;0;1;0;0;1;0;0;0;8;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Castelo Branco;1;0;48;0;0;0;32;1;0;1;11;1;0;19;876;0;207;266;1;31;0;15;0;2;14;0;88;1;29;430;3;1;1;0;0;0;16;0;4;0;0;4;0;1;10;1;33;2;0;2;1;4;0;3;3;0;0;0;0;0;1;6;12
Castelo de Paiva;1;3;0;1;0;0;53;0;0;0;10;9;1;1;6;0;31;3;0;1;2;1;5;0;2;0;0;1;2;11;12;0;15;0;3;0;0;4;1;13;10;0;0;0;0;0;179;0;8;0;0;0;0;0;0;0;1;1;0;1;21;23;16
Castelo de Vide;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;6;2;1;10;0;1;1;0;0;0;2;0;0;28;0;0;0;0;0;0;2;0;0;0;0;0;0;0;26;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0;1;0
Castro Daire;0;0;2;0;0;1;19;0;0;1;6;4;2;2;11;0;84;15;0;1;0;1;0;0;12;0;1;6;5;38;1;0;3;0;3;0;0;0;0;1;0;0;0;0;0;0;26;3;0;0;3;1;0;0;0;0;0;0;0;0;3;18;110
Castro Marim;0;0;4;0;0;0;0;0;0;12;1;0;2;1;0;0;3;3;1;7;0;70;0;0;1;0;0;0;2;30;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;4;1;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0
Castro Verde;0;0;10;0;0;0;0;0;0;52;0;0;0;1;1;0;7;3;0;9;0;31;0;0;0;0;0;0;0;74;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Celorico da Beira;0;0;2;0;0;0;6;1;0;0;0;1;0;5;4;0;40;13;0;1;0;1;0;0;30;0;0;1;1;21;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;1;3;5
Celorico de Basto;0;0;4;0;0;0;16;5;0;0;67;68;0;0;1;0;36;7;0;1;15;2;14;0;3;0;0;2;0;19;8;0;15;0;9;0;0;1;2;1;0;0;0;3;0;0;100;0;0;0;0;1;0;0;0;1;1;2;0;2;10;214;1
