,,,,,,,,
ACESSO AO ENSINO SUPERIOR 2015 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
Resultados,,,,,,,,
,,,,,,,,
Código Instit.,Código Curso,Instituição,Curso,Grau,Vagas Iniciais,Colocados,Nota do últ. colocado (cont. geral),Vagas sobrantes
0400,9075,Universidade da Beira Interior,Design Multimédia,L1,40,41,125.7,0
0400,9081,Universidade da Beira Interior,Economia,L1,45,45,128.0,0
0400,9105,Universidade da Beira Interior,Engenharia Eletromecânica,L1,30,27,121.5,3
0400,9112,Universidade da Beira Interior,Engenharia Eletrotécnica e de Computadores,L1,20,7,123.7,13
0400,9119,Universidade da Beira Interior,Engenharia Informática,L1,60,61,126.1,0
0400,9147,Universidade da Beira Interior,Gestão,L1,57,60,135.5,0
0400,9205,Universidade da Beira Interior,Marketing,L1,33,24,106.5,9
0400,9216,Universidade da Beira Interior,Optometria - Ciências da Visão,L1,35,22,103.3,13
0400,9219,Universidade da Beira Interior,Psicologia,L1,45,45,141.5,0
0400,9225,Universidade da Beira Interior,Química Industrial,L1,30,6,106.9,24
0400,9240,Universidade da Beira Interior,Sociologia,L1,36,38,118.6,0
0400,9257,Universidade da Beira Interior,Arquitetura,MI,65,53,104.5,12
0400,9351,Universidade da Beira Interior,Ciências Biomédicas,L1,55,55,148.0,0
0400,9360,Universidade da Beira Interior,Engenharia Civil,MI,25,1,118.7,24
0400,9494,Universidade da Beira Interior,Ciências Farmacêuticas,MI,50,50,151.2,0
0400,9540,Universidade da Beira Interior,Bioengenharia,L1,20,14,125.8,6
0400,9707,Universidade da Beira Interior,Ciências do Desporto,L1,57,52,106.7,5
0400,9813,Universidade da Beira Interior,Medicina,MI,140,140,178.0,0
0400,9918,Universidade da Beira Interior,Estudos Portugueses e Espanhóis,L1,25,10,105.0,15
0400,L042,Universidade da Beira Interior,Informática Web,L1,25,11,105.4,14
0501,8408,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química Medicinal,L1,30,28,107.8,2
0501,9011,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Biologia,L1,90,90,129.5,0
0501,9015,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Bioquímica,L1,55,55,147.0,0
0501,9104,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,L1,42,42,133.8,0
0501,9119,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,108,109,145.0,0
0501,9141,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Física,L1,20,20,130.0,0
0501,9146,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Geologia,L1,33,24,101.5,9
0501,9209,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Matemática,L1,35,35,120.5,0
0501,9223,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química,L1,27,13,103.0,14
0501,9257,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Arquitetura,MI,61,61,128.8,0
0501,9359,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,MI,55,55,167.8,0
0501,9360,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Civil,MI,105,12,109.8,93
0501,9367,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,MI,110,98,108.0,12
0501,9368,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Física,MI,25,25,145.0,0
0501,9369,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,MI,100,100,134.5,0
0501,9448,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Antropologia,L1,45,46,117.0,0
0501,9461,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Química,MI,45,31,114.8,14
0501,9508,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,MI,39,16,105.5,23
0501,9891,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Design e Multimédia,L1,52,53,153.0,0
0502,8067,Universidade de Coimbra - Faculdade de Direito,Administração Público-Privada,L1,41,43,146.0,0
0502,9078,Universidade de Coimbra - Faculdade de Direito,Direito,L1,334,336,142.0,0
0503,9081,Universidade de Coimbra - Faculdade de Economia,Economia,L1,154,154,149.0,0
0503,9147,Universidade de Coimbra - Faculdade de Economia,Gestão,L1,89,89,156.3,0
0503,9229,Universidade de Coimbra - Faculdade de Economia,Relações Internacionais,L1,41,41,157.5,0
0503,9240,Universidade de Coimbra - Faculdade de Economia,Sociologia,L1,41,42,130.0,0
0504,9494,Universidade de Coimbra - Faculdade de Farmácia,Ciências Farmacêuticas,MI,180,180,149.0,0
