;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por concelho do estabelecimento de ensino superior e concelho da residência permanente do aluno, em 2017/18 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Alvaiázere; 1; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 3; 0; 3; 0; 65; 3; 0; 4; 0; 1; 0; 0; 0; 0; 0; 0; 18; 22; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 2; 1; 0; 2; 0; 2; 0; 0; 2; 0; 0; 1; 0; 0; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alvito; 0; 0; 1; 0; 0; 0; 0; 0; 0; 20; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 4; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Amadora; 0; 0; 265; 12; 0; 1; 10; 0; 14; 9; 10; 6; 8; 101; 11; 0; 31; 15; 5; 21; 0; 9; 1; 0; 4; 0; 3; 0; 12;4 043; 0; 0; 1; 0; 4; 51; 189; 0; 2; 0; 0; 7; 2; 0; 6; 0; 15; 1; 0; 7; 0; 2; 35; 0; 1; 8; 0; 1; 3; 0; 0; 0; 1; 1; 3
Amarante; 1; 3; 2; 0; 0; 0; 31; 15; 0; 0; 107; 123; 5; 0; 8; 0; 169; 29; 1; 2; 12; 0; 120; 0; 5; 1; 0; 10; 4; 51; 36; 0; 60; 0; 29; 0; 2; 3; 2; 29; 23; 1; 0; 2; 1; 0; 551; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 2; 3; 7; 0; 1; 28; 253; 30
Amares; 0; 0; 0; 0; 9; 0; 13; 84; 0; 0; 264; 16; 0; 0; 3; 0; 15; 5; 0; 1; 3; 0; 3; 0; 0; 0; 0; 1; 3; 15; 3; 0; 3; 5; 4; 0; 2; 0; 0; 1; 0; 0; 0; 3; 0; 0; 51; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 26; 1; 0; 5; 2; 16; 7
Anadia; 2; 17; 8; 0; 0; 0; 116; 0; 1; 0; 8; 5; 7; 1; 2; 0; 434; 25; 0; 9; 0; 3; 0; 0; 10; 0; 0; 4; 21; 65; 3; 0; 4; 0; 0; 0; 3; 8; 3; 0; 0; 1; 1; 1; 2; 0; 63; 0; 0; 1; 0; 3; 3; 0; 0; 4; 0; 0; 0; 2; 0; 0; 4; 8; 28
Angra do Heroísmo; 0; 0; 38; 2; 0; 195; 26; 0; 0; 5; 16; 1; 10; 3; 5; 0; 76; 12; 1; 13; 0; 9; 3; 1; 3; 1; 0; 0; 21; 325; 3; 0; 5; 0; 6; 0; 6; 4; 0; 0; 0; 6; 80; 0; 0; 0; 69; 3; 0; 3; 0; 1; 12; 0; 1; 3; 0; 0; 0; 1; 0; 0; 5; 11; 3
Ansião; 0; 0; 2; 0; 0; 0; 7; 0; 0; 1; 0; 0; 4; 0; 12; 0; 187; 9; 0; 3; 0; 6; 0; 0; 2; 0; 0; 0; 54; 37; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 5; 0; 0; 0; 1; 4; 0; 1; 0; 0; 1; 0; 0; 0; 12; 0; 0; 2; 1; 0; 0; 0; 1; 2
Arcos de Valdevez; 0; 0; 3; 0; 1; 0; 6; 6; 0; 0; 125; 10; 1; 0; 2; 0; 34; 4; 0; 0; 0; 0; 4; 0; 1; 0; 1; 0; 4; 26; 1; 0; 19; 7; 2; 0; 0; 1; 0; 0; 0; 0; 0; 20; 0; 0; 78; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 5; 86; 1; 1; 0; 5; 6; 1
Arganil; 1; 0; 1; 0; 0; 0; 5; 0; 0; 0; 0; 0; 2; 0; 0; 0; 174; 3; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 20; 0; 0; 0; 0; 0; 0; 0; 0; 20; 0; 0; 1; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 11
Armamar; 0; 0; 2; 0; 0; 0; 4; 0; 0; 1; 7; 7; 0; 1; 2; 0; 22; 5; 0; 0; 0; 1; 1; 0; 4; 0; 0; 5; 2; 6; 3; 0; 3; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 2; 0; 19; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 28; 21
Arouca; 0; 4; 1; 0; 0; 0; 81; 3; 0; 0; 10; 3; 2; 0; 1; 0; 74; 12; 0; 0; 0; 0; 0; 0; 2; 0; 0; 4; 6; 21; 3; 0; 17; 1; 0; 0; 0; 14; 0; 2; 1; 0; 0; 0; 1; 0; 196; 0; 21; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 3; 0; 0; 21; 13; 18
Arraiolos; 0; 0; 5; 1; 0; 0; 1; 0; 0; 10; 0; 1; 0; 0; 5; 0; 6; 2; 3; 92; 0; 2; 0; 0; 0; 0; 2; 0; 0; 56; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 1; 0; 0; 1; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Arronches; 0; 0; 2; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 4; 0; 0; 3; 8; 6; 0; 1; 0; 0; 0; 0; 0; 0; 0; 13; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 30; 0; 0; 1; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Arruda dos Vinhos; 0; 0; 21; 0; 0; 0; 1; 0; 0; 2; 0; 0; 5; 5; 1; 0; 2; 2; 1; 8; 0; 0; 0; 0; 0; 0; 0; 0; 3; 372; 0; 0; 0; 0; 1; 3; 5; 0; 0; 0; 0; 4; 0; 0; 1; 0; 2; 1; 0; 9; 0; 1; 4; 0; 0; 2; 0; 0; 0; 1; 0; 0; 0; 0; 0
Aveiro; 2; 165; 6; 3; 0; 1;1 977; 4; 0; 0; 34; 14; 6; 1; 16; 0; 551; 46; 0; 10; 0; 13; 2; 0; 27; 0; 3; 8; 16; 292; 14; 0; 13; 3; 2; 0; 22; 36; 1; 12; 0; 3; 2; 1; 2; 0; 396; 0; 12; 1; 0; 5; 0; 0; 0; 2; 0; 0; 0; 2; 0; 1; 30; 25; 58
Avis; 0; 0; 0; 0; 0; 0; 1; 0; 0; 3; 0; 0; 0; 0; 6; 0; 6; 3; 1; 18; 0; 3; 0; 0; 0; 0; 1; 0; 3; 16; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 12; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Azambuja; 2; 0; 26; 0; 0; 0; 1; 0; 0; 2; 1; 0; 4; 2; 2; 0; 8; 8; 0; 9; 0; 1; 0; 0; 3; 0; 0; 0; 14; 260; 1; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 12; 0; 0; 3; 1; 1; 3; 0; 44; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 2; 0
Baião; 0; 0; 1; 0; 0; 0; 4; 0; 0; 0; 17; 38; 0; 1; 0; 0; 37; 10; 0; 0; 1; 0; 12; 0; 0; 0; 0; 12; 0; 11; 15; 0; 22; 0; 2; 0; 1; 0; 1; 6; 1; 1; 0; 0; 0; 0; 139; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 12; 58; 7
Barcelos; 1; 6; 6; 0; 0; 0; 108; 804; 0; 0;1 066; 47; 5; 2; 5; 0; 270; 79; 0; 10; 0; 3; 16; 0; 11; 0; 1; 2; 14; 113; 48; 0; 44; 21; 12; 0; 0; 0; 2; 15; 0; 2; 0; 38; 1; 0; 689; 0; 0; 1; 0; 3; 1; 0; 1; 4; 0; 32; 293; 7; 3; 84; 45; 161; 21
Barrancos; 0; 0; 2; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 1; 0; 8; 0; 3; 0; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Barreiro; 1; 0; 188; 3; 0; 0; 2; 2; 85; 5; 3; 3; 8; 19; 6; 0; 5; 3; 0; 26; 0; 11; 1; 0; 3; 0; 0; 0; 3;1 342; 1; 0; 1; 0; 0; 4; 29; 0; 3; 1; 0; 1; 1; 0; 7; 5; 8; 1; 0; 2; 0; 0; 426; 0; 0; 1; 0; 0; 0; 2; 0; 0; 2; 0; 1
Batalha; 0; 1; 12; 0; 0; 0; 14; 0; 0; 0; 2; 0; 11; 1; 5; 0; 68; 9; 1; 10; 0; 8; 0; 1; 2; 0; 0; 1; 214; 157; 0; 2; 1; 0; 0; 0; 9; 0; 0; 0; 0; 16; 0; 0; 1; 0; 14; 1; 0; 4; 0; 1; 2; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 1; 2
Beja; 0; 0; 51; 0; 0; 0; 5; 0; 0; 579; 1; 0; 2; 5; 7; 0; 23; 5; 5; 88; 0; 46; 0; 1; 1; 0; 0; 0; 4; 378; 0; 0; 0; 0; 1; 1; 15; 0; 0; 0; 0; 1; 1; 0; 4; 1; 7; 1; 0; 0; 0; 0; 24; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 1
Belmonte; 0; 0; 2; 0; 0; 0; 2; 1; 0; 0; 1; 2; 1; 0; 27; 0; 13; 64; 0; 3; 0; 1; 0; 0; 24; 0; 4; 1; 0; 12; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 0; 2; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 2
Benavente; 1; 0; 31; 2; 0; 0; 7; 0; 0; 2; 1; 2; 10; 5; 3; 0; 17; 8; 0; 24; 0; 7; 0; 0; 3; 0; 1; 0; 11; 383; 0; 0; 0; 0; 0; 3; 9; 0; 1; 0; 0; 5; 0; 0; 7; 1; 1; 2; 0; 20; 0; 0; 14; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 1; 2
Bombarral; 0; 0; 10; 0; 0; 0; 9; 0; 0; 1; 3; 0; 19; 2; 3; 0; 23; 2; 0; 5; 0; 3; 0; 0; 0; 0; 0; 0; 49; 131; 0; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 18; 0; 0; 2; 2; 5; 5; 0; 7; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0
Borba; 0; 0; 7; 0; 0; 1; 0; 0; 0; 2; 1; 0; 0; 0; 4; 0; 3; 4; 6; 35; 0; 9; 0; 0; 1; 0; 1; 0; 0; 57; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 17; 1; 2; 0; 0; 1; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
