Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NotaFinalMedia;NumeroInscritos;NumeroHomens;NumeroMulheres;NumeroPortugueses;NumeroEstrangeiros
Escola Superior de Saúde do Alcoitão;4105;Escola Superior de Saúde do Alcoitão;4105;Privado;Politecnico;Terapia Ocupacional;8138;Licenciatura;15,4;99;10;89;87;12
Escola Superior de Saúde do Alcoitão;4105;Escola Superior de Saúde do Alcoitão;4105;Privado;Politecnico;Fisioterapia;9504;Licenciatura;15,7;229;57;172;223;6
Escola Superior de Saúde do Alcoitão;4105;Escola Superior de Saúde do Alcoitão;4105;Privado;Politecnico;Terapia da Fala;9890;Licenciatura;15,4;35;1;34;33;2
Escola Superior de Saúde Egas Moniz;4106;Escola Superior de Saúde Egas Moniz;4106;Privado;Politecnico;Enfermagem;9500;Licenciatura;15,3;93;12;81;87;6
Escola Superior de Saúde Egas Moniz;4106;Escola Superior de Saúde Egas Moniz;4106;Privado;Politecnico;Fisioterapia;9504;Licenciatura;13,4;123;59;64;120;3
Escola Superior de Saúde Egas Moniz;4106;Escola Superior de Saúde Egas Moniz;4106;Privado;Politecnico;Prótese Dentária;9791;Licenciatura;13,7;62;32;30;59;3
CESPU-Instituto Politécnico de Saúde do Norte;4107;Escola Superior de Saúde do Vale do Ave;4108;Privado;Politecnico;Enfermagem;9500;Licenciatura;13,9;220;25;195;214;6
CESPU-Instituto Politécnico de Saúde do Norte;4107;Escola Superior de Saúde do Vale do Ave;4108;Privado;Politecnico;Fisioterapia;9504;Licenciatura;14;229;67;162;228;1
CESPU-Instituto Politécnico de Saúde do Norte;4107;Escola Superior de Saúde do Vale do Sousa;4109;Privado;Politecnico;Enfermagem;9500;Licenciatura;14,5;147;24;123;143;4
CESPU-Instituto Politécnico de Saúde do Norte;4107;Escola Superior de Saúde do Vale do Sousa;4109;Privado;Politecnico;Fisioterapia;9504;Licenciatura;13,6;181;62;119;163;18
CESPU-Instituto Politécnico de Saúde do Norte;4107;Escola Superior de Saúde do Vale do Sousa;4109;Privado;Politecnico;Prótese Dentária;9791;Licenciatura;13,3;118;68;50;86;32
Escola Superior de Tecnologias de Fafe;4115;Escola Superior de Tecnologias de Fafe;4115;Privado;Politecnico;Contabilidade;9056;Licenciatura;13;19;6;13;19;0
Escola Superior de Tecnologias de Fafe;4115;Escola Superior de Tecnologias de Fafe;4115;Privado;Politecnico;Gestão;9147;Licenciatura;13;61;33;28;54;7
Escola Superior de Tecnologias de Fafe;4115;Escola Superior de Tecnologias de Fafe;4115;Privado;Politecnico;Informática de Gestão;9186;Licenciatura;12,7;10;9;1;10;0
Escola Superior de Tecnologias de Fafe;4115;Escola Superior de Tecnologias de Fafe;4115;Privado;Politecnico;Turismo;9254;Licenciatura;13,8;43;15;28;34;9
Escola Superior de Tecnologias e Artes de Lisboa;4125;Escola Superior de Tecnologias e Artes de Lisboa;4125;Privado;Politecnico;Design de Comunicação;9070;Licenciatura;14,1;83;21;62;79;4
Escola Superior de Tecnologias e Artes de Lisboa;4125;Escola Superior de Tecnologias e Artes de Lisboa;4125;Privado;Politecnico;Artes Performativas;9681;Licenciatura;15,5;39;9;30;32;7
Escola Universitária Vasco da Gama;4126;Escola Universitária Vasco da Gama;4126;Privado;Universitario;Medicina Veterinária;9847;MestradoIntegrado;13,1;189;66;123;183;6
Escola Superior de Negócios Atlântico;4141;Escola Superior de Negócios Atlântico;4141;Privado;Politecnico;Gestão e Negócios;9169;Licenciatura;13,9;55;31;24;54;1
Escola Superior de Negócios Atlântico;4141;Escola Superior de Negócios Atlântico;4141;Privado;Politecnico;Gestão Financeira e Fiscal;9172;Licenciatura;13,1;44;23;21;44;0
Escola Superior de Negócios Atlântico;4141;Escola Superior de Negócios Atlântico;4141;Privado;Politecnico;Gestão e Sistemas de Informação;9647;Licenciatura;13,5;10;7;3;10;0
Instituto Superior de Novas Profissões;4150;Instituto Superior de Novas Profissões;4150;Privado;Politecnico;Gestão Comercial e Vendas;8274;Licenciatura;14,3;20;12;8;19;1
