PORTAL INFOCURSOS;;;;;;;;;;;
;;;;;;;;;;;
8) Taxa de desemprego registado no IEFP do curso;;;;;;;;;;;
;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroDiplomadosCurso;NumeroDiplomadosDesempregados (média junho e dezembro 2016);TaxaDesempregoRegistadoCurso
Instituto Superior de Serviço Social do Porto;4520;Instituto Superior de Serviço Social do Porto;4520;Privado;Universitario;Serviço Social;9238;Licenciatura;230;42;18,3
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Serviço Social;9238;Licenciatura;87;14;16,1
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Psicologia;9219;Licenciatura;224;17,5;7,8
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Multimédia;9213;Licenciatura;45;9;20
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Jornalismo;9191;Licenciatura;0;;
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Informática;9185;Licenciatura;33;0;0
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Gestão de Recursos Humanos;9157;Licenciatura;35;5,5;15,7
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Gestão;9147;Licenciatura;43;5,5;12,8
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Design de Comunicação;9070;Licenciatura;34;5,5;16,2
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Comunicação Empresarial;9053;Licenciatura;73;7;9,6
Instituto Superior de Saúde do Alto Ave;4460;Instituto Superior de Saúde do Alto Ave;4460;Privado;Politecnico;Fisioterapia;9504;Licenciatura;152;9,5;6,3
Instituto Superior de Saúde do Alto Ave;4460;Instituto Superior de Saúde do Alto Ave;4460;Privado;Politecnico;Enfermagem;9500;Licenciatura;163;7,5;4,6
ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida;4450;ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida;4450;Privado;Universitario;Bioinformática;9687;Licenciatura;0;;
ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida;4450;ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida;4450;Privado;Universitario;Psicologia;9555;MestradoIntegrado;2012;61,5;3,1
ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida;4450;ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida;4450;Privado;Universitario;Biologia;9011;Licenciatura;29;;
Instituto Superior Politécnico Gaya;4440;Escola Superior de Ciência e Tecnologia;4442;Privado;Politecnico;Engenharia de Energias Renováveis;9910;Licenciatura;23;;
Instituto Superior Politécnico Gaya;4440;Escola Superior de Ciência e Tecnologia;4442;Privado;Politecnico;Informática de Gestão;9186;Licenciatura;13;;
Instituto Superior Politécnico Gaya;4440;Escola Superior de Ciência e Tecnologia;4442;Privado;Politecnico;Gestão;9147;Licenciatura;25;;
Instituto Superior Politécnico Gaya;4440;Escola Superior de Ciência e Tecnologia;4442;Privado;Politecnico;Engenharia Informática;9119;Licenciatura;41;5;12,2
Instituto Superior Politécnico Gaya;4440;Escola Superior de Ciência e Tecnologia;4442;Privado;Politecnico;Engenharia Electrónica e de Automação;9106;Licenciatura;37;4;10,8
Instituto Superior Politécnico Gaya;4440;Escola Superior de Ciência e Tecnologia;4442;Privado;Politecnico;Contabilidade;9056;Licenciatura;0;;
Instituto Superior Politécnico Gaya;4440;Escola Superior de Desenvolvimento Social e Comunitário;4441;Privado;Politecnico;Turismo;9254;Licenciatura;21;;
Instituto Superior Politécnico do Oeste;4385;Instituto Superior Politécnico do Oeste;4385;Privado;Politecnico;Contabilidade e Administração;9058;Licenciatura;51;1,5;2,9
Instituto Superior de Paços de Brandão;4380;Instituto Superior de Paços de Brandão;4380;Privado;Politecnico;Marketing, Publicidade e Relações Públicas;9208;Licenciatura;31;4;12,9
Instituto Superior de Paços de Brandão;4380;Instituto Superior de Paços de Brandão;4380;Privado;Politecnico;Contabilidade e Gestão;9062;Licenciatura;0;;
Instituto Superior Manuel Teixeira Gomes;4375;Instituto Superior Manuel Teixeira Gomes;4375;Privado;Universitario;Educação Física e Desporto;9736;Licenciatura;196;4,5;2,3
Instituto Superior Manuel Teixeira Gomes;4375;Instituto Superior Manuel Teixeira Gomes;4375;Privado;Universitario;Psicologia;9219;Licenciatura;50;2;4
Instituto Superior Manuel Teixeira Gomes;4375;Instituto Superior Manuel Teixeira Gomes;4375;Privado;Universitario;Gestão de Recursos Humanos;9157;Licenciatura;52;3;5,8
Instituto Superior Manuel Teixeira Gomes;4375;Instituto Superior Manuel Teixeira Gomes;4375;Privado;Universitario;Engenharia Informática;9119;Licenciatura;49;3,5;7,1
Instituto Superior Manuel Teixeira Gomes;4375;Instituto Superior Manuel Teixeira Gomes;4375;Privado;Universitario;Direito;9078;Licenciatura;129;6;4,7
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Energias Renováveis;9934;Licenciatura;17;;
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Educação Física e Desporto;9736;Licenciatura;787;59;7,5
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Turismo;9254;Licenciatura;109;20;18,3
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Tecnologias de Comunicação Multimédia;9249;Licenciatura;590;16;2,7
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Relações Públicas;9230;Licenciatura;44;9,5;21,6
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Psicologia;9219;Licenciatura;318;19;6
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Informática;9185;Licenciatura;0;;
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Gestão do Desporto;9162;Licenciatura;160;21;13,1
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Gestão de Recursos Humanos;9157;Licenciatura;139;24;17,3
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Gestão de Marketing;9156;Licenciatura;81;12;14,8
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Gestão de Empresas;9152;Licenciatura;955;18,5;1,9
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Criminologia;9066;Licenciatura;426;54,5;12,8
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Ciências da Comunicação;9023;Licenciatura;1148;27;2,4
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Engenharia de Segurança do Trabalho;8468;Licenciatura;23;;
Instituto Universitário da Maia - ISMAI;4358;Instituto Universitário da Maia - ISMAI;4358;Privado;Universitario;Artes e Multimédia;8404;Licenciatura;19;;
ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;Privado;Politecnico;Gestão de Recursos Humanos;9157;Licenciatura;30;2,5;8,3
ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;Privado;Politecnico;Gestão de Empresas;9152;Licenciatura;53;1;1,9
ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;ISLA - Instituto Superior de Gestão e Administração de Leiria;4354;Privado;Politecnico;Engenharia da Segurança do Trabalho;8187;Licenciatura;39;3;7,7
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Gestão de Processos e Operações Empresariais;L046;Licenciatura;0;;
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Gestão Comercial;L021;Licenciatura;0;;
ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;ISLA - Instituto Superior de Gestão e Administração de Santarém;4352;Privado;Politecnico;Gestão de Recursos Humanos;9157;Licenciatura;29;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Ciências do Desporto e da Atividade Física;L076;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão do Turismo e da Hospitalidade;L061;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Desenvolvimento de Jogos e de Aplicações;L044;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Turismo;9254;Licenciatura;840;11;1,3
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Psicologia;9219;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Marketing, Publicidade e Relações Públicas;9208;Licenciatura;247;19;7,7
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Informática de Gestão;9186;Licenciatura;59;0,5;0,8
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão Hoteleira;9173;Licenciatura;332;22;6,6
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão do Desporto;9162;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão de Empresas;9152;Licenciatura;269;15;5,6
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Gestão;9147;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Engenharia Informática;9119;Licenciatura;3;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Direito;9078;Licenciatura;0;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Ciências da Comunicação;9023;Licenciatura;2;;
Universidade Europeia;4350;Universidade Europeia;4350;Privado;Universitario;Sistemas de Informação, Web e Multimédia;8286;Licenciatura;22;;
Escola Superior de Tecnologia e Gestão Jean Piaget do Litoral Alentejano;4309;Escola Superior de Tecnologia e Gestão Jean Piaget do Litoral Alentejano;4309;Privado;Politecnico;Engenharia de Petróleos - Refinação;8301;Licenciatura;12;;
Instituto Superior de Estudos Interculturais e Transdisciplinares de  Viseu;4308;Instituto Superior de Estudos Interculturais e Transdisciplinares de  Viseu;4308;Privado;Universitario;Ciências da Nutrição;9554;Licenciatura;37;1,5;4,1
Instituto Superior de Estudos Interculturais e Transdisciplinares de  Viseu;4308;Instituto Superior de Estudos Interculturais e Transdisciplinares de  Viseu;4308;Privado;Universitario;Psicologia;9219;Licenciatura;46;2,5;5,4
Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada;4306;Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada;4306;Privado;Universitario;Motricidade Humana;9780;Licenciatura;324;6,5;2
Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada;4306;Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada;4306;Privado;Universitario;Psicologia;9219;Licenciatura;66;3;4,5
Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada;4306;Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada;4306;Privado;Universitario;Gestão;9147;Licenciatura;30;1;3,3
Instituto Superior de Gestão Bancária;4305;Instituto Superior de Gestão Bancária;4305;Privado;Politecnico;Gestão Bancária;9646;Licenciatura;325;16;4,9
Instituto Superior de Gestão;4300;Instituto Superior de Gestão;4300;Privado;Universitario;Marketing;9205;Licenciatura;13;;
Instituto Superior de Gestão;4300;Instituto Superior de Gestão;4300;Privado;Universitario;Gestão de Recursos Humanos;9157;Licenciatura;5;;
Instituto Superior de Gestão;4300;Instituto Superior de Gestão;4300;Privado;Universitario;Gestão;9147;Licenciatura;266;14;5,3
ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;Privado;Politecnico;Óptica e Optometria;L036;Licenciatura;4;;
ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;Privado;Politecnico;Educação Básica;9853;Licenciatura;152;2,5;1,6
ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;Privado;Politecnico;Gestão Hoteleira;9173;Licenciatura;34;3;8,8
ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;Privado;Politecnico;Design e Produção Gráfica;9073;Licenciatura;58;6;10,3
ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;Privado;Politecnico;Ciências Aeronáuticas;9021;Licenciatura;69;0;0
ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;Privado;Politecnico;Energias Renováveis e Ambiente;8522;Licenciatura;0;;
ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;Privado;Politecnico;Engenharia de Segurança do Trabalho;8468;Licenciatura;12;;
ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;ISEC Lisboa - Instituto Superior de Educação e Ciências;4298;Privado;Politecnico;Gestão Aeronáutica;8042;Licenciatura;20;;
Instituto Superior de Comunicação Empresarial;4295;Instituto Superior de Comunicação Empresarial;4295;Privado;Politecnico;Gestão de Marketing;9156;Licenciatura;57;3;5,3
Instituto Superior de Comunicação Empresarial;4295;Instituto Superior de Comunicação Empresarial;4295;Privado;Politecnico;Comunicação Empresarial;9053;Licenciatura;105;9,5;9
Instituto Superior D. Dinis;4292;Instituto Superior D. Dinis;4292;Privado;Politecnico;Gestão de Recursos Humanos;9157;Licenciatura;25;;
Instituto Superior D. Dinis;4292;Instituto Superior D. Dinis;4292;Privado;Politecnico;Engenharia de Produção Industrial;9097;Licenciatura;30;0;0
Instituto Superior D. Dinis;4292;Instituto Superior D. Dinis;4292;Privado;Politecnico;Design;9069;Licenciatura;36;0;0
