;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2014/15 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Alvaiázere; 0; 0; 1; 0; 0; 3; 0; 0; 0; 1; 0; 0; 0; 6; 0; 64; 6; 1; 0; 2; 0; 1; 0; 0; 1; 0; 0; 1; 0; 22; 63; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 3; 0; 2; 0; 4; 0; 1; 0; 0; 1; 0; 0; 15; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Alvito; 0; 0; 3; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 15; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Amadora; 3; 0; 282; 8; 1; 15; 0; 10; 4; 9; 5; 8; 90; 8; 0; 30; 10; 0; 0; 20; 0; 17; 0; 0; 2; 0; 0; 2; 1; 10;4 029; 0; 0; 2; 0; 0; 0; 0; 47; 194; 0; 1; 0; 1; 1; 0; 7; 3; 17; 0; 4; 0; 22; 0; 1; 23; 0; 2; 4; 0; 0; 0; 2; 0; 0; 0; 0; 1; 1
Amarante; 0; 2; 2; 1; 0; 35; 10; 0; 0; 109; 100; 5; 0; 4; 1; 122; 38; 0; 0; 2; 5; 2; 129; 0; 8; 0; 0; 0; 7; 1; 38; 0; 0; 42; 0; 62; 0; 20; 0; 3; 0; 1; 36; 0; 1; 3; 0; 0; 569; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 6; 6; 0; 1; 51; 278; 23
Amares; 0; 0; 0; 0; 0; 13; 68; 0; 0; 268; 21; 1; 0; 3; 0; 39; 4; 0; 0; 1; 1; 0; 2; 1; 0; 0; 0; 0; 1; 2; 18; 0; 0; 0; 0; 3; 3; 2; 0; 0; 2; 0; 0; 0; 0; 7; 0; 0; 42; 3; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 28; 2; 0; 11; 3; 16; 9
Anadia; 0; 21; 2; 0; 0; 141; 0; 1; 1; 5; 5; 8; 2; 7; 0; 370; 20; 0; 0; 6; 0; 3; 0; 0; 4; 0; 0; 0; 0; 14; 68; 0; 0; 3; 0; 3; 0; 0; 0; 2; 5; 2; 2; 2; 1; 1; 3; 0; 49; 0; 2; 0; 0; 0; 6; 0; 0; 0; 3; 0; 0; 0; 0; 2; 0; 0; 3; 4; 32
Angra do Heroísmo; 0; 0; 31; 1; 237; 31; 0; 0; 6; 15; 3; 8; 0; 4; 0; 47; 19; 0; 0; 10; 0; 6; 0; 2; 1; 0; 0; 0; 0; 11; 330; 0; 0; 5; 0; 2; 0; 6; 0; 14; 0; 0; 0; 4; 143; 0; 1; 0; 71; 0; 2; 0; 4; 0; 0; 10; 0; 0; 4; 0; 0; 0; 0; 1; 0; 0; 8; 9; 1
Ansião; 0; 0; 1; 0; 0; 2; 0; 0; 0; 0; 0; 1; 0; 6; 0; 181; 6; 0; 0; 2; 0; 2; 0; 0; 2; 0; 0; 0; 0; 43; 17; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 5; 0; 0; 1; 0; 2; 0; 1; 0; 1; 0; 1; 0; 0; 1; 6; 1; 0; 0; 0; 0; 0; 0; 0; 0; 2
Arcos de Valdevez; 0; 0; 2; 0; 0; 9; 12; 0; 0; 146; 10; 0; 0; 2; 0; 22; 3; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 15; 0; 0; 1; 0; 2; 1; 0; 0; 0; 0; 0; 2; 0; 1; 21; 0; 0; 71; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 5; 75; 0; 2; 0; 1; 6; 1
Arganil; 0; 0; 1; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 196; 7; 0; 0; 1; 0; 0; 0; 0; 4; 0; 0; 0; 0; 6; 19; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 14; 0; 1; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 10
