;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2014/15 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Guimarães; 1; 4; 13; 4; 2; 82; 160; 0; 3;2 078; 128; 9; 3; 7; 0; 250; 81; 0; 0; 9; 94; 13; 153; 0; 32; 18; 0; 2; 2; 24; 134; 0; 0; 91; 0; 49; 11; 38; 1; 6; 3; 0; 30; 3; 2; 9; 1; 0; 787; 14; 0; 0; 1; 1; 7; 1; 0; 2; 7; 0; 0; 8; 107; 50; 1; 188; 53; 236; 27
Horta; 1; 1; 6; 0; 10; 15; 1; 0; 2; 7; 9; 1; 0; 4; 0; 21; 2; 0; 0; 7; 0; 8; 0; 0; 3; 0; 12; 0; 0; 6; 120; 0; 0; 3; 0; 3; 0; 1; 1; 7; 2; 0; 2; 0; 41; 0; 1; 0; 20; 0; 1; 0; 3; 0; 0; 5; 0; 0; 3; 0; 0; 0; 0; 0; 0; 3; 2; 1; 0
Idanha-a-Nova; 0; 0; 3; 0; 0; 1; 0; 0; 0; 0; 2; 0; 0; 42; 0; 6; 13; 0; 0; 4; 0; 1; 0; 0; 2; 0; 0; 63; 0; 0; 15; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1
Ílhavo; 0; 56; 5; 1; 0; 620; 2; 0; 0; 15; 6; 3; 4; 5; 0; 315; 21; 0; 0; 3; 0; 1; 0; 0; 11; 0; 0; 0; 0; 11; 75; 0; 0; 3; 0; 1; 1; 2; 0; 15; 10; 1; 2; 4; 1; 2; 2; 0; 98; 0; 3; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 2; 2; 0; 1; 7; 9; 44
Lagoa (Algarve); 0; 0; 19; 0; 0; 5; 0; 0; 8; 1; 1; 1; 0; 4; 0; 19; 2; 0; 0; 23; 0; 96; 0; 0; 0; 0; 0; 1; 1; 4; 119; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 1; 0; 3; 77; 7; 2; 2; 0; 0; 1; 0; 7; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
Lagoa (R.A.A.); 0; 0; 2; 0; 4; 0; 0; 0; 0; 3; 1; 1; 1; 1; 0; 7; 3; 0; 0; 4; 0; 2; 2; 0; 0; 0; 0; 1; 0; 0; 58; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 148; 0; 3; 0; 17; 0; 1; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 3; 0
Lagos; 0; 0; 37; 0; 0; 2; 1; 0; 13; 5; 0; 5; 2; 9; 0; 30; 5; 0; 0; 22; 0; 134; 0; 0; 0; 0; 0; 1; 0; 3; 235; 3; 0; 0; 0; 0; 0; 0; 0; 7; 1; 2; 0; 0; 0; 0; 3; 74; 14; 0; 2; 0; 1; 0; 0; 2; 6; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Lajes das Flores; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Lajes do Pico; 0; 0; 0; 1; 12; 3; 0; 0; 1; 0; 1; 0; 0; 0; 0; 17; 3; 0; 0; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 24; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 8; 0; 0; 0; 6; 0; 1; 0; 1; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1
Lamego; 2; 1; 5; 0; 0; 48; 3; 0; 0; 23; 31; 0; 2; 5; 0; 104; 47; 1; 0; 0; 0; 4; 1; 0; 10; 0; 0; 0; 134; 7; 54; 0; 0; 2; 0; 8; 0; 4; 0; 2; 0; 0; 4; 1; 1; 1; 1; 0; 198; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 11; 106; 81
Leiria; 3; 0; 85; 5; 1; 138; 0; 0; 6; 22; 5; 103; 17; 36; 0; 720; 84; 3; 0; 75; 0; 25; 0; 1; 6; 0; 0; 3; 0;2 525;1 016; 0; 0; 2; 20; 5; 0; 4; 1; 50; 1; 1; 2; 69; 2; 0; 12; 0; 100; 0; 26; 0; 25; 0; 3; 2; 0; 3; 31; 0; 0; 0; 0; 0; 0; 1; 8; 14; 23
Lisboa; 3; 0;1 177; 121; 2; 51; 4; 14; 17; 51; 15; 72; 302; 31; 0; 195; 60; 4; 0; 146; 0; 94; 0; 7; 18; 0; 0; 4; 0; 29;23 894; 1; 0; 5; 0; 9; 0; 7; 76; 663; 2; 3; 6; 20; 10; 0; 7; 4; 165; 0; 18; 0; 49; 0; 5; 75; 0; 9; 23; 0; 0; 0; 2; 1; 0; 0; 2; 13; 19
Loulé; 0; 0; 30; 2; 0; 7; 0; 0; 20; 6; 2; 0; 8; 6; 0; 37; 13; 0; 0; 38; 0; 726; 0; 0; 0; 0; 0; 1; 0; 5; 336; 47; 0; 1; 0; 0; 0; 0; 0; 10; 0; 0; 0; 1; 0; 0; 5; 23; 19; 0; 1; 0; 0; 0; 0; 3; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 3
Loures; 0; 0; 262; 12; 1; 12; 1; 9; 8; 6; 2; 19; 65; 26; 0; 36; 12; 1; 0; 29; 0; 32; 0; 0; 5; 0; 0; 0; 0; 10;4 810; 0; 0; 0; 0; 0; 0; 1; 64; 132; 0; 1; 0; 19; 2; 0; 3; 1; 20; 0; 10; 0; 58; 0; 1; 77; 0; 7; 18; 0; 0; 0; 0; 1; 0; 0; 2; 2; 7
Lourinhã; 0; 0; 22; 0; 0; 4; 0; 1; 2; 1; 3; 10; 5; 2; 0; 26; 6; 0; 0; 18; 0; 4; 0; 0; 0; 0; 0; 0; 0; 42; 285; 0; 0; 0; 0; 0; 0; 0; 2; 17; 0; 0; 0; 34; 2; 0; 4; 1; 2; 0; 12; 0; 19; 0; 0; 3; 0; 1; 3; 0; 11; 0; 0; 0; 0; 0; 0; 2; 2
Lousã; 0; 0; 2; 0; 0; 13; 0; 0; 1; 1; 0; 0; 0; 4; 0; 436; 10; 0; 0; 1; 0; 1; 0; 0; 3; 0; 0; 0; 0; 4; 20; 0; 0; 0; 0; 0; 0; 0; 0; 3; 1; 1; 0; 0; 0; 0; 1; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0
Lousada; 0; 1; 3; 0; 0; 25; 2; 0; 0; 75; 87; 1; 0; 1; 0; 66; 27; 1; 0; 2; 1; 3; 115; 0; 3; 0; 0; 0; 0; 5; 38; 0; 0; 54; 0; 38; 0; 24; 0; 1; 1; 0; 49; 1; 0; 0; 0; 0; 390; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 6; 5; 0; 4; 33; 68; 5
Mação; 5; 0; 5; 0; 0; 4; 0; 0; 0; 1; 0; 0; 0; 18; 0; 11; 11; 1; 0; 3; 0; 5; 0; 0; 2; 0; 0; 4; 0; 8; 28; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 10; 0; 3; 0; 6; 0; 8; 0; 0; 0; 0; 0; 24; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0
Macedo de Cavaleiros; 0; 0; 3; 0; 0; 9; 1; 0; 1; 25; 225; 0; 0; 1; 1; 49; 18; 1; 0; 2; 0; 0; 0; 0; 4; 0; 0; 0; 0; 1; 40; 0; 0; 3; 0; 1; 0; 22; 0; 0; 0; 0; 3; 0; 0; 0; 1; 0; 60; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 42; 8
Machico; 1; 0; 4; 1; 0; 12; 0; 0; 3; 6; 1; 1; 0; 16; 0; 42; 15; 0; 0; 7; 0; 5; 0; 205; 1; 0; 0; 0; 0; 6; 80; 0; 0; 0; 0; 3; 0; 1; 0; 3; 0; 0; 0; 3; 7; 0; 4; 0; 48; 0; 2; 0; 5; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 2; 0; 0; 5; 2; 0
Madalena; 0; 2; 2; 0; 7; 3; 0; 0; 0; 2; 0; 1; 0; 1; 0; 13; 3; 0; 0; 2; 0; 2; 0; 0; 0; 0; 0; 0; 1; 2; 35; 0; 0; 0; 0; 1; 0; 0; 0; 2; 0; 0; 0; 0; 15; 0; 2; 0; 10; 0; 1; 0; 0; 0; 0; 3; 0; 0; 5; 0; 0; 0; 0; 0; 0; 1; 1; 4; 0
Mafra; 1; 0; 54; 4; 0; 6; 0; 1; 2; 7; 1; 18; 41; 7; 0; 20; 8; 2; 0; 21; 0; 10; 0; 0; 2; 0; 0; 0; 0; 16;1 624; 0; 0; 0; 0; 0; 0; 0; 24; 77; 0; 1; 0; 26; 0; 0; 8; 1; 6; 0; 14; 0; 19; 1; 0; 11; 0; 2; 10; 0; 16; 0; 0; 0; 0; 0; 0; 4; 4
Maia; 0; 1; 4; 4; 0; 95; 23; 0; 0; 143; 10; 2; 4; 7; 0; 83; 29; 0; 0; 4; 0; 6; 18; 0; 4; 0; 0; 1; 0; 3; 142; 0; 0; 495; 0; 429; 4; 2; 0; 5; 3; 0; 49; 3; 1; 7; 0; 1;3 018; 0; 1; 0; 0; 0; 0; 0; 0; 5; 1; 0; 0; 0; 11; 92; 0; 16; 148; 43; 5
Mangualde; 0; 0; 3; 0; 0; 42; 0; 0; 0; 4; 0; 0; 0; 9; 0; 80; 34; 0; 0; 6; 0; 1; 0; 0; 14; 0; 0; 0; 2; 1; 45; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 1; 0; 0; 0; 0; 0; 39; 0; 2; 0; 0; 0; 2; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 6; 143
Manteigas; 0; 0; 2; 0; 0; 4; 0; 0; 0; 0; 0; 0; 1; 7; 0; 8; 33; 0; 0; 6; 0; 1; 1; 0; 15; 0; 0; 0; 0; 3; 6; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1
Marco de Canaveses; 0; 2; 1; 0; 0; 49; 6; 0; 0; 69; 116; 3; 0; 4; 0; 94; 13; 0; 0; 1; 0; 1; 38; 1; 10; 0; 0; 0; 5; 7; 38; 0; 0; 25; 0; 51; 0; 18; 0; 0; 0; 0; 25; 0; 0; 2; 0; 0; 530; 0; 0; 0; 1; 0; 0; 0; 0; 0; 2; 0; 0; 1; 2; 12; 0; 1; 36; 162; 28
Marinha Grande; 0; 2; 21; 0; 0; 46; 3; 0; 0; 3; 1; 14; 5; 14; 0; 145; 9; 0; 0; 16; 0; 6; 0; 0; 2; 0; 0; 1; 1; 523; 224; 0; 0; 2; 37; 0; 1; 3; 0; 8; 1; 0; 1; 20; 2; 0; 4; 0; 32; 0; 12; 0; 8; 0; 0; 1; 0; 1; 9; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2
Marvão; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 4; 1; 4; 0; 14; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 13; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 29; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Matosinhos; 0; 1; 7; 4; 0; 91; 11; 0; 1; 140; 19; 5; 11; 3; 0; 48; 26; 0; 0; 6; 0; 8; 8; 2; 2; 0; 0; 0; 0; 6; 211; 0; 0; 442; 0; 536; 1; 1; 0; 4; 5; 0; 53; 2; 0; 11; 0; 0;3 959; 1; 0; 0; 2; 0; 2; 1; 0; 1; 4; 0; 0; 1; 9; 136; 0; 4; 169; 54; 4
Mealhada; 0; 5; 4; 0; 0; 39; 0; 0; 0; 0; 1; 1; 0; 5; 0; 294; 7; 0; 0; 1; 0; 0; 0; 0; 3; 0; 0; 0; 0; 8; 10; 0; 0; 0; 0; 2; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 26; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 1
Mêda; 0; 0; 1; 0; 0; 3; 0; 0; 0; 0; 1; 0; 2; 1; 0; 25; 15; 0; 0; 1; 0; 0; 0; 0; 24; 0; 0; 0; 1; 1; 13; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 3; 18
Melgaço; 0; 1; 1; 0; 0; 8; 4; 0; 0; 26; 6; 1; 0; 1; 0; 17; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 6; 0; 0; 0; 0; 1; 8; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 49; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 6; 30; 0; 1; 1; 2; 4; 0
Mértola; 1; 0; 7; 0; 0; 0; 0; 0; 36; 0; 0; 0; 0; 0; 0; 6; 1; 0; 0; 5; 0; 26; 0; 0; 1; 0; 0; 0; 0; 0; 40; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Mesão Frio; 0; 0; 0; 0; 0; 3; 0; 0; 0; 3; 10; 0; 0; 0; 0; 3; 2; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 5; 0; 9; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 22; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 4; 14; 7
Mira; 0; 7; 0; 0; 0; 76; 0; 0; 0; 2; 0; 2; 1; 4; 0; 201; 3; 0; 0; 1; 0; 0; 0; 0; 5; 0; 0; 0; 0; 7; 22; 0; 0; 2; 0; 4; 0; 1; 0; 1; 1; 0; 1; 2; 1; 0; 3; 0; 18; 0; 1; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 2; 8
Miranda do Corvo; 1; 0; 0; 0; 0; 3; 0; 0; 0; 1; 0; 0; 0; 2; 0; 354; 4; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 4; 13; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 6
Miranda do Douro; 0; 0; 1; 0; 0; 3; 0; 0; 0; 10; 48; 0; 0; 1; 0; 15; 9; 0; 0; 3; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 18; 0; 0; 2; 0; 0; 0; 5; 0; 1; 0; 1; 2; 0; 0; 0; 0; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 2; 12; 1
Mirandela; 0; 0; 2; 0; 0; 13; 0; 0; 0; 30; 176; 0; 0; 9; 0; 81; 29; 0; 0; 4; 0; 4; 0; 0; 6; 0; 0; 0; 2; 0; 54; 0; 0; 1; 0; 7; 0; 131; 0; 0; 0; 0; 4; 0; 0; 0; 1; 0; 130; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 6; 99; 6
Mogadouro; 0; 0; 1; 0; 0; 3; 0; 0; 0; 7; 138; 0; 0; 2; 0; 24; 2; 0; 0; 2; 0; 2; 0; 0; 2; 0; 0; 0; 0; 2; 7; 0; 0; 2; 0; 1; 0; 14; 0; 0; 1; 0; 2; 0; 0; 0; 0; 0; 28; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 5; 20; 2
Moimenta da Beira; 0; 0; 1; 0; 0; 22; 0; 0; 0; 11; 2; 1; 0; 6; 0; 66; 26; 0; 0; 3; 0; 1; 0; 0; 13; 0; 0; 0; 10; 2; 12; 0; 0; 0; 0; 2; 0; 0; 0; 2; 0; 0; 0; 3; 1; 0; 1; 0; 20; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 3; 15; 61
Moita; 0; 0; 118; 1; 0; 1; 0; 79; 3; 1; 3; 3; 10; 2; 0; 9; 9; 1; 0; 27; 0; 13; 1; 0; 2; 0; 0; 1; 0; 3; 794; 0; 0; 0; 0; 0; 0; 0; 4; 34; 0; 1; 0; 2; 0; 0; 8; 3; 5; 0; 1; 0; 6; 1; 0; 401; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0
Monção; 0; 5; 5; 0; 0; 19; 2; 0; 0; 49; 21; 1; 1; 0; 0; 34; 6; 0; 0; 0; 0; 0; 4; 0; 1; 0; 0; 0; 1; 8; 12; 0; 0; 12; 0; 11; 6; 1; 0; 2; 0; 1; 4; 0; 0; 20; 0; 0; 117; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 39; 48; 2; 2; 1; 6; 24; 3
Monchique; 0; 0; 7; 0; 0; 1; 0; 1; 6; 0; 0; 0; 0; 1; 0; 2; 0; 0; 0; 5; 0; 37; 0; 0; 0; 0; 0; 0; 0; 0; 37; 1; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 1; 13; 2; 0; 1; 0; 0; 0; 0; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Mondim de Basto; 0; 0; 0; 0; 0; 5; 1; 0; 0; 14; 30; 0; 0; 1; 0; 15; 2; 0; 0; 2; 2; 1; 9; 0; 1; 0; 0; 0; 1; 3; 7; 0; 0; 5; 0; 2; 0; 5; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 29; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 3; 0; 0; 6; 51; 0
Monforte; 0; 0; 5; 0; 0; 0; 0; 0; 7; 1; 0; 0; 0; 3; 0; 1; 0; 6; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 13; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 19; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1
Montalegre; 0; 0; 1; 0; 0; 4; 11; 0; 0; 48; 17; 0; 0; 0; 2; 18; 7; 0; 0; 0; 0; 1; 0; 0; 5; 0; 0; 1; 0; 1; 15; 0; 0; 2; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 38; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 1; 1; 0; 0; 29; 2
Montemor-o-Novo; 0; 0; 7; 1; 0; 2; 0; 3; 15; 0; 0; 0; 1; 5; 0; 6; 2; 6; 0; 155; 0; 13; 0; 0; 0; 0; 0; 0; 0; 1; 107; 0; 0; 1; 0; 0; 0; 0; 1; 2; 0; 0; 0; 0; 0; 0; 3; 0; 3; 0; 2; 0; 5; 0; 0; 10; 1; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0
Montemor-o-Velho; 0; 1; 1; 0; 0; 19; 0; 0; 0; 2; 2; 2; 0; 8; 0; 593; 13; 0; 0; 0; 0; 0; 0; 1; 2; 0; 0; 0; 0; 17; 37; 0; 0; 1; 0; 1; 0; 0; 0; 2; 0; 5; 0; 3; 0; 0; 0; 0; 17; 0; 0; 0; 1; 0; 1; 2; 0; 0; 2; 0; 0; 0; 0; 1; 0; 0; 0; 4; 7
Montijo; 0; 0; 95; 2; 0; 4; 0; 9; 6; 3; 1; 0; 9; 6; 0; 6; 4; 0; 0; 44; 0; 8; 0; 0; 0; 0; 0; 0; 0; 7; 728; 0; 0; 1; 0; 0; 0; 1; 3; 30; 0; 0; 0; 1; 0; 0; 2; 0; 6; 0; 0; 0; 5; 0; 0; 173; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2
Mora; 0; 0; 1; 1; 0; 5; 0; 0; 2; 0; 0; 0; 1; 3; 0; 5; 0; 0; 0; 29; 0; 1; 0; 0; 1; 0; 0; 1; 0; 2; 27; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 2; 0; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Mortágua; 0; 0; 0; 0; 0; 17; 0; 0; 0; 1; 1; 2; 0; 1; 0; 113; 8; 0; 0; 3; 0; 0; 0; 0; 3; 0; 0; 0; 0; 5; 16; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 13; 0; 2; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 4; 18
Moura; 0; 0; 11; 1; 0; 1; 0; 0; 101; 0; 1; 0; 2; 1; 0; 5; 2; 2; 0; 69; 0; 28; 0; 0; 2; 0; 0; 0; 0; 1; 85; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 3; 1; 3; 0; 2; 0; 3; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1
Mourão; 0; 0; 1; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 17; 0; 2; 0; 0; 0; 0; 0; 0; 0; 1; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Murça; 1; 0; 0; 0; 0; 2; 0; 0; 0; 11; 38; 0; 0; 5; 0; 12; 9; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 6; 0; 0; 0; 0; 1; 0; 5; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 18; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 43; 0
Murtosa; 0; 2; 2; 0; 0; 70; 0; 0; 0; 0; 3; 0; 0; 3; 0; 23; 10; 0; 0; 1; 0; 0; 1; 0; 6; 0; 0; 0; 0; 3; 14; 0; 0; 0; 0; 0; 0; 0; 0; 2; 2; 0; 0; 1; 0; 2; 0; 0; 28; 0; 0; 4; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 5; 9
Nazaré; 1; 0; 5; 1; 0; 11; 0; 0; 1; 3; 0; 6; 4; 8; 0; 54; 7; 1; 0; 6; 0; 8; 0; 0; 2; 0; 0; 1; 0; 113; 96; 0; 0; 0; 2; 0; 0; 1; 1; 11; 0; 0; 0; 10; 0; 0; 1; 0; 6; 0; 6; 0; 9; 0; 0; 0; 0; 0; 2; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1
Nelas; 0; 0; 2; 0; 0; 28; 0; 0; 0; 5; 2; 0; 0; 1; 0; 116; 20; 0; 0; 0; 0; 1; 0; 0; 14; 0; 0; 0; 1; 7; 46; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 0; 4; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 3; 118
Nisa; 0; 0; 4; 0; 0; 1; 0; 0; 2; 0; 1; 0; 1; 25; 0; 8; 6; 1; 0; 27; 0; 2; 0; 0; 3; 0; 0; 2; 0; 2; 42; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 27; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0
Nordeste; 0; 0; 0; 0; 4; 0; 0; 0; 0; 1; 2; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 43; 0; 0; 0; 5; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1
Óbidos; 1; 0; 12; 2; 0; 6; 0; 0; 0; 1; 1; 16; 4; 3; 0; 13; 5; 1; 0; 5; 0; 2; 0; 0; 0; 0; 0; 0; 0; 56; 118; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 13; 0; 0; 0; 0; 1; 0; 3; 0; 5; 0; 0; 0; 0; 1; 2; 0; 2; 0; 0; 1; 0; 0; 1; 1; 0
Odemira; 0; 0; 27; 0; 0; 6; 0; 2; 68; 2; 1; 1; 2; 3; 0; 5; 4; 0; 0; 20; 0; 84; 0; 0; 0; 0; 0; 0; 0; 1; 164; 0; 0; 3; 0; 0; 0; 0; 1; 18; 1; 0; 0; 0; 1; 0; 1; 10; 6; 0; 3; 0; 1; 2; 0; 5; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Odivelas; 0; 0; 209; 5; 1; 5; 0; 7; 0; 6; 2; 16; 56; 2; 0; 10; 9; 4; 0; 13; 0; 4; 0; 0; 2; 0; 0; 0; 0; 5;3 336; 0; 0; 5; 0; 1; 0; 2; 120; 104; 0; 2; 0; 7; 0; 0; 3; 0; 18; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 4; 2
