de residência";;;16I1401;16D0101;1701503;1701115;2004301;16D0105;1120302;1701504;1840205;1120303;11E0402;16B1006;1701105;16H0502;11B1703;16E0603;16J0503;1861207;11A0107;1870705;1190307;1500805;11C1303;3003103;16J0907;1190308;2004701;16H0505;11D1805;16F1009;1701106;1500808;11E0405;11A1306;16F1010;11A1308;1111603;11E0407;1701116;1701110;11A0113;16E0611;11A1310;16B1014;2004203;1111607;1861214;1500811;11A1312;1190309;1851414;11A0109;1851416;1811509;16J0912;1701512;1500813;1701111;16I1418;16I1419;16B1113;1111608;1111609;11A1316;1111610;1190312;11A1317;11D1714;16G1823
;;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
;Portugal;350 133; 390; 868;10 032; 440; 645;12 392;3 161; 503;2 549;17 927;4 926;1 280;2 340;3 436; 268;33 584;6 480; 271; 61;5 802; 334;7 450;1 373;3 069;2 310; 57; 23; 414; 456;8 106;106 811; 174; 26;4 214; 121;4 710; 144; 840; 668;4 873; 446; 290;1 688;1 048;2 441; 563;1 509; 789;56 252; 182; 721; 457;2 641; 52; 270;5 138; 194; 163;1 940; 96; 106; 323;3 114;1 455; 81;1 349;1 240;6 711;5 346
1851404;Alpiarça; 165; 0; 0; 12; 0; 0; 2; 0; 0; 0; 0; 2; 0; 3; 2; 0; 8; 2; 1; 0; 7; 0; 1; 0; 0; 1; 0; 0; 1; 0; 6; 63; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 1; 0; 1; 0; 1; 0; 38; 0; 0; 1; 1; 0; 5; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0
1861201;Alter do Chão; 71; 0; 0; 1; 0; 0; 1; 0; 0; 3; 0; 0; 0; 1; 9; 0; 1; 2; 4; 0; 9; 0; 2; 0; 0; 0; 0; 0; 1; 0; 0; 16; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 16; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
16F1002;Alvaiázere; 233; 0; 0; 1; 0; 0; 5; 0; 0; 0; 1; 0; 1; 0; 9; 0; 72; 4; 0; 0; 4; 0; 1; 0; 0; 1; 0; 0; 0; 0; 27; 76; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 2; 0; 0; 2; 0; 3; 0; 2; 0; 0; 0; 0; 1; 0; 0; 17; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1
1840203;Alvito; 50; 0; 0; 4; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 14; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1701115;Amadora;5 169; 4; 0; 289; 13; 2; 11; 1; 8; 4; 15; 6; 12; 92; 10; 0; 31; 12; 1; 0; 22; 0; 16; 0; 2; 2; 0; 0; 3; 2; 10;4 227; 0; 0; 2; 0; 0; 0; 0; 57; 218; 0; 0; 1; 4; 1; 0; 5; 1; 17; 0; 2; 0; 25; 0; 1; 25; 0; 2; 9; 0; 0; 1; 0; 0; 0; 0; 0; 2; 1
11C1301;Amarante;1 764; 0; 2; 1; 0; 0; 31; 15; 0; 1; 108; 114; 4; 0; 3; 1; 111; 34; 0; 0; 2; 5; 4; 136; 0; 8; 0; 0; 0; 5; 1; 38; 0; 2; 38; 0; 55; 0; 24; 2; 2; 2; 1; 34; 1; 1; 1; 0; 0; 637; 3; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 6; 10; 0; 2; 12; 278; 28
1120301;Amares; 728; 0; 0; 0; 0; 0; 11; 77; 0; 0; 279; 22; 0; 1; 5; 1; 173; 4; 0; 0; 2; 2; 0; 3; 0; 0; 0; 0; 0; 1; 1; 17; 0; 0; 0; 0; 3; 4; 2; 0; 0; 2; 0; 0; 0; 1; 3; 0; 0; 45; 10; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 17; 4; 0; 12; 0; 17; 7
16D0103;Anadia; 801; 0; 29; 4; 0; 0; 146; 0; 1; 1; 7; 5; 3; 2; 6; 0; 368; 20; 0; 0; 4; 0; 2; 0; 0; 3; 0; 0; 0; 0; 8; 59; 0; 0; 0; 0; 2; 0; 1; 0; 4; 6; 3; 0; 5; 0; 1; 3; 1; 55; 0; 2; 0; 1; 0; 4; 0; 0; 0; 5; 0; 0; 0; 0; 1; 0; 0; 0; 5; 34
2004301;Angra do Heroísmo;1 173; 0; 0; 28; 0; 314; 31; 1; 0; 5; 16; 4; 4; 3; 3; 0; 53; 20; 0; 0; 6; 0; 11; 0; 1; 0; 1; 0; 0; 0; 12; 325; 0; 0; 5; 0; 2; 0; 5; 0; 8; 1; 0; 0; 4; 194; 0; 1; 0; 80; 0; 3; 0; 5; 0; 1; 10; 0; 0; 3; 0; 0; 0; 0; 1; 0; 0; 1; 10; 1
16F1003;Ansião; 323; 0; 0; 1; 0; 0; 1; 0; 0; 2; 0; 1; 1; 0; 6; 0; 199; 7; 0; 0; 3; 0; 2; 0; 0; 4; 0; 0; 0; 0; 48; 20; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 5; 0; 0; 2; 0; 3; 0; 0; 0; 0; 0; 1; 0; 0; 2; 8; 0; 0; 0; 0; 0; 0; 0; 0; 1; 3
