,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal segundo o concelho do estabelecimento de ensino superior por concelho da residência permanente do aluno, em 2015/16 - Todos os níveis formação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Almodôvar,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,3.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alpiarça,0.00,0.00,13.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00,0.00,8.00,4.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Alter do Chão,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,4.00,10.00,0.00,12.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alvaiázere,1.00,0.00,1.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,68.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,20.00,50.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,2.00,0.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Alvito,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,12.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amadora,2.00,1.00,266.00,10.00,0.00,10.00,1.00,7.00,6.00,6.00,5.00,5.00,90.00,6.00,0.00,29.00,13.00,2.00,0.00,19.00,0.00,14.00,0.00,0.00,2.00,0.00,0.00,5.00,1.00,6.00,4049.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,189.00,0.00,1.00,0.00,0.00,5.00,1.00,0.00,6.00,2.00,20.00,0.00,3.00,0.00,27.00,0.00,1.00,20.00,0.00,2.00,4.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00
Amarante,0.00,4.00,1.00,1.00,0.00,38.00,7.00,0.00,0.00,102.00,105.00,7.00,0.00,5.00,1.00,139.00,35.00,0.00,0.00,2.00,7.00,1.00,119.00,0.00,5.00,0.00,0.00,0.00,8.00,3.00,47.00,0.00,32.00,0.00,55.00,0.00,26.00,0.00,2.00,1.00,3.00,31.00,21.00,1.00,0.00,0.00,0.00,0.00,551.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,8.00,0.00,1.00,35.00,285.00,22.00
Amares,0.00,0.00,0.00,0.00,0.00,15.00,80.00,0.00,0.00,250.00,20.00,1.00,1.00,3.00,0.00,16.00,4.00,0.00,0.00,1.00,2.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,15.00,0.00,2.00,0.00,3.00,3.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,48.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,29.00,3.00,0.00,10.00,3.00,18.00,9.00
Anadia,0.00,20.00,3.00,0.00,0.00,133.00,0.00,1.00,0.00,8.00,6.00,9.00,3.00,4.00,0.00,399.00,25.00,0.00,0.00,5.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00,16.00,55.00,0.00,3.00,0.00,5.00,0.00,0.00,0.00,4.00,5.00,3.00,1.00,0.00,3.00,2.00,1.00,1.00,0.00,45.00,0.00,1.00,0.00,3.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,4.00,6.00,29.00
Angra do Heroísmo,0.00,0.00,30.00,1.00,197.00,27.00,1.00,0.00,7.00,13.00,2.00,8.00,1.00,3.00,0.00,65.00,15.00,0.00,0.00,8.00,0.00,6.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00,13.00,345.00,0.00,4.00,0.00,1.00,0.00,5.00,0.00,7.00,0.00,0.00,0.00,0.00,3.00,107.00,0.00,1.00,0.00,66.00,0.00,4.00,0.00,5.00,0.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,10.00,1.00
