,,,,,,,,,
,ACESSO AO ENSINO SUPERIOR 2017 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
,Resultados,,,,,,,,
,,,,,,,,,
,Código Instit.,Código Curso,Instituição,Curso,Grau,Vagas Iniciais,Colocados,Nota do últ. colocado (cont. geral),Vagas sobrantes
,0300,9508,Universidade de Aveiro,Engenharia do Ambiente,MI,20,20,125.4,0
,0300,9509,Universidade de Aveiro,Engenharia e Gestão Industrial,MI,70,70,163.4,0
,0300,9853,Universidade de Aveiro,Educação Básica,L1,48,48,131.0,0
,0300,G009,Universidade de Aveiro,Engenharia Computacional,MI,20,20,135.3,0
,0300,L094,Universidade de Aveiro,Reabilitação do Património,L1,20,10,109.4,10
,0400,8184,Universidade da Beira Interior,Optometria e Ciências da Visão,L1,35,11,113.5,24
,0400,8470,Universidade da Beira Interior,Engenharia Aeronáutica,MI,40,40,167.5,0
,0400,9015,Universidade da Beira Interior,Bioquímica,L1,40,40,123.9,0
,0400,9016,Universidade da Beira Interior,Biotecnologia,L1,45,45,119.7,0
,0400,9020,Universidade da Beira Interior,Ciência Política e Relações Internacionais,L1,32,32,149.6,0
,0400,9023,Universidade da Beira Interior,Ciências da Comunicação,L1,45,46,137.1,0
,0400,9025,Universidade da Beira Interior,Ciências da Cultura,L1,20,21,113.2,0
,0400,9048,Universidade da Beira Interior,Cinema,L1,45,45,132.4,0
,0400,9071,Universidade da Beira Interior,Design de Moda,L1,50,53,126.3,0
,0400,9074,Universidade da Beira Interior,Design Industrial,L1,35,38,118.4,0
,0400,9075,Universidade da Beira Interior,Design Multimédia,L1,40,41,129.7,0
,0400,9081,Universidade da Beira Interior,Economia,L1,45,45,133.1,0
,0400,9105,Universidade da Beira Interior,Engenharia Eletromecânica,L1,30,30,113.4,0
,0400,9112,Universidade da Beira Interior,Engenharia Eletrotécnica e de Computadores,L1,20,13,113.7,7
,0400,9119,Universidade da Beira Interior,Engenharia Informática,L1,65,65,129.8,0
,0400,9147,Universidade da Beira Interior,Gestão,L1,57,57,143.6,0
,0400,9205,Universidade da Beira Interior,Marketing,L1,33,33,123.3,0
,0400,9219,Universidade da Beira Interior,Psicologia,L1,50,51,143.3,0
,0400,9225,Universidade da Beira Interior,Química Industrial,L1,25,22,103.0,3
,0400,9240,Universidade da Beira Interior,Sociologia,L1,36,38,117.4,0
,0400,9257,Universidade da Beira Interior,Arquitetura,MI,55,60,113.5,0
,0400,9351,Universidade da Beira Interior,Ciências Biomédicas,L1,55,55,137.3,0
,0400,9360,Universidade da Beira Interior,Engenharia Civil,MI,25,0,,25
,0400,9494,Universidade da Beira Interior,Ciências Farmacêuticas,MI,55,55,145.7,0
,0400,9540,Universidade da Beira Interior,Bioengenharia,L1,20,11,114.8,9
,0400,9707,Universidade da Beira Interior,Ciências do Desporto,L1,57,59,124.8,0
,0400,9813,Universidade da Beira Interior,Medicina,MI,140,140,176.7,0
,0400,9918,Universidade da Beira Interior,Estudos Portugueses e Espanhóis,L1,25,19,106.0,6
,0400,L042,Universidade da Beira Interior,Informática Web,L1,25,21,101.6,4
,0501,8408,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química Medicinal,L1,30,30,121.8,0
,0501,9011,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Biologia,L1,92,93,128.5,0
,0501,9015,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Bioquímica,L1,57,57,146.3,0
,0501,9104,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,L1,45,45,153.3,0
,0501,9119,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,120,120,150.8,0
,0501,9141,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Física,L1,24,24,136.8,0
,0501,9146,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Geologia,L1,33,25,101.0,8
,0501,9209,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Matemática,L1,38,38,136.0,0
,0501,9223,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química,L1,27,20,109.3,7
,0501,9257,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Arquitetura,MI,61,61,104.5,0
,0501,9359,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,MI,60,60,171.0,0
,0501,9360,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Civil,MI,40,26,111.5,14
,0501,9367,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,MI,110,111,128.8,0
,0501,9368,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Física,MI,31,31,140.8,0
,0501,9369,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,MI,104,105,141.8,0
,0501,9448,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Antropologia,L1,45,45,117.5,0
,0501,9461,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Química,MI,45,45,127.8,0
