,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2019/20 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Seia,Setúbal,Silves,Sintra,Tomar,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Alpiarça,3.00,0.00,9.00,1.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,1.00,2.00,3.00,1.00,0.00,9.00,2.00,1.00,15.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,88.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,2.00,7.00,0.00,53.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Alter do Chão,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,4.00,10.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alvaiázere,0.00,1.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,5.00,0.00,50.00,5.00,0.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,1.00,2.00,0.00,5.00,0.00,1.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Alvito,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,10.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amadora,2.00,1.00,261.00,17.00,0.00,0.00,13.00,2.00,21.00,5.00,7.00,13.00,7.00,126.00,12.00,0.00,30.00,17.00,4.00,24.00,0.00,17.00,0.00,0.00,3.00,0.00,4.00,1.00,13.00,4284.00,2.00,0.00,6.00,0.00,3.00,43.00,153.00,1.00,2.00,0.00,0.00,8.00,0.00,1.00,7.00,0.00,23.00,5.00,0.00,28.00,2.00,56.00,0.00,2.00,11.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,2.00
Amarante,1.00,3.00,3.00,0.00,1.00,0.00,49.00,10.00,0.00,0.00,122.00,137.00,7.00,2.00,6.00,0.00,139.00,27.00,0.00,4.00,14.00,1.00,127.00,0.00,3.00,1.00,0.00,5.00,5.00,43.00,53.00,0.00,55.00,0.00,43.00,0.00,0.00,3.00,2.00,35.00,24.00,2.00,1.00,2.00,1.00,0.00,541.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,2.00,4.00,14.00,0.00,0.00,34.00,272.00,34.00
Amares,0.00,0.00,0.00,0.00,23.00,0.00,11.00,77.00,0.00,0.00,314.00,12.00,0.00,0.00,2.00,0.00,12.00,8.00,0.00,1.00,1.00,2.00,3.00,0.00,1.00,0.00,0.00,1.00,3.00,12.00,3.00,0.00,4.00,6.00,7.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,5.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,27.00,1.00,0.00,6.00,1.00,18.00,5.00
Anadia,0.00,21.00,5.00,0.00,0.00,0.00,134.00,0.00,0.00,0.00,3.00,3.00,5.00,5.00,3.00,0.00,399.00,36.00,0.00,8.00,0.00,4.00,0.00,0.00,10.00,0.00,0.00,2.00,20.00,70.00,5.00,0.00,6.00,0.00,0.00,0.00,2.00,6.00,13.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,62.00,0.00,1.00,2.00,1.00,9.00,0.00,0.00,4.00,0.00,1.00,5.00,0.00,0.00,4.00,12.00,27.00
Angra do Heroísmo,0.00,2.00,33.00,0.00,0.00,143.00,21.00,0.00,0.00,10.00,25.00,1.00,5.00,3.00,6.00,0.00,95.00,12.00,1.00,14.00,0.00,11.00,2.00,1.00,1.00,0.00,0.00,1.00,20.00,335.00,3.00,0.00,5.00,0.00,3.00,0.00,10.00,2.00,2.00,0.00,0.00,4.00,65.00,0.00,4.00,0.00,55.00,7.00,0.00,4.00,2.00,10.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,8.00,9.00,2.00
Ansião,0.00,0.00,3.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,2.00,0.00,1.00,3.00,8.00,0.00,183.00,11.00,0.00,4.00,0.00,6.00,0.00,0.00,4.00,0.00,0.00,0.00,66.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,5.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,1.00,2.00,4.00,3.00
