;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Coimbra;Covilhã;Elvas;Évora;Faro;Felgueiras;Funchal;Guarda;Idanha-a-Nova;Lamego;Leiria;Lisboa;Matosinhos;Melgaço;Mirandela;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santarém;Seia;Setúbal;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Gaia;Vila Real;Viseu
Santa Comba Dão; 179;0;0;0;0;0;13;0;0;0;0;0;0;2;7;53;14;0;3;0;0;0;7;0;0;1;18;0;0;0;0;0;2;1;0;0;0;0;9;0;1;2;0;0;0;0;0;0;2;44
Santa Cruz; 747;1;0;4;0;1;14;2;0;4;13;1;4;3;8;48;8;0;7;13;0;346;1;0;1;8;169;5;0;2;8;1;0;6;4;0;3;1;31;6;4;0;4;2;0;0;1;6;6;1
Santa Cruz da Graciosa; 56;0;0;0;0;5;1;0;0;0;0;1;0;1;0;4;0;0;1;1;0;0;0;0;0;2;13;1;0;0;1;0;0;0;16;0;1;0;2;0;1;0;1;0;0;0;1;0;2;1
Santa Cruz das Flores; 21;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;12;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santa Maria da Feira;1 523;2;25;0;1;0;281;4;0;0;31;20;8;2;15;189;40;0;7;5;9;0;17;0;8;12;61;71;2;5;4;29;3;3;0;1;1;0;483;2;1;5;1;3;1;6;14;61;44;46
Santa Marta de Penaguião; 118;0;0;0;0;0;1;0;0;0;4;25;0;0;0;8;4;0;0;0;1;0;2;0;5;1;5;3;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;48;0
Santana; 107;0;0;2;0;0;0;0;0;1;2;1;0;0;4;7;1;0;1;1;0;46;0;0;0;4;16;5;0;0;0;0;1;1;1;0;1;0;4;2;3;0;0;1;0;0;0;2;0;0
Santarém;1 151;7;0;8;0;0;21;1;0;2;3;2;18;19;15;92;17;2;51;11;0;0;1;1;0;74;383;0;0;4;18;0;4;16;0;0;12;4;8;44;282;0;8;19;0;1;0;0;2;1
Santiago do Cacém; 343;0;0;6;1;0;2;0;3;50;0;0;0;3;0;7;3;0;31;36;0;0;0;1;0;2;123;1;0;0;5;0;0;1;0;0;6;0;1;2;0;0;57;1;0;0;0;0;1;0
Santo Tirso; 851;0;0;0;1;0;20;35;0;1;141;33;3;1;6;39;11;0;1;5;38;0;4;1;2;4;24;56;1;10;2;0;0;3;0;3;0;0;261;1;1;1;1;2;1;12;19;56;46;5
São Brás de Alportel; 179;0;0;0;0;0;0;0;0;5;1;0;0;0;1;3;1;0;7;122;0;0;0;0;0;1;27;0;0;0;4;0;0;0;0;0;1;1;2;1;0;0;0;0;0;1;1;0;0;0
São João da Madeira; 296;0;1;1;1;0;44;2;0;0;8;8;2;0;0;61;13;0;1;2;0;0;10;0;2;2;16;12;2;2;1;3;4;0;1;0;0;0;70;1;0;0;0;0;0;1;1;3;3;18
São João da Pesqueira; 92;0;0;0;0;0;5;0;0;0;0;8;0;0;1;18;1;0;0;0;0;0;12;0;2;0;6;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;21
São Pedro do Sul; 245;0;4;1;0;0;25;0;0;0;0;1;1;2;2;59;7;0;1;0;0;0;14;1;4;2;21;1;0;1;0;1;1;1;0;0;2;0;8;0;1;4;1;0;0;0;0;0;4;75
São Roque do Pico; 33;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
São Vicente; 71;0;0;0;0;1;0;0;0;1;4;1;0;1;1;4;0;1;0;3;0;30;0;0;0;1;15;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1
Sardoal; 76;2;0;1;0;0;1;0;1;0;0;0;2;0;4;6;16;0;1;0;0;0;0;0;0;6;18;0;0;0;1;0;0;3;0;0;4;0;1;2;0;0;0;7;0;0;0;0;0;0
Sátão; 216;0;0;1;0;0;15;1;0;0;2;3;0;1;5;44;8;0;2;0;0;0;13;2;6;1;13;1;0;0;0;0;1;0;0;0;1;0;4;0;2;1;1;0;0;0;0;2;5;81
Seia; 347;1;1;4;1;0;14;0;0;0;2;10;1;0;12;97;19;0;5;2;0;0;34;5;4;5;29;1;0;0;1;0;17;0;0;0;1;0;5;6;1;18;2;1;0;0;0;1;3;44
Seixal;2 181;1;1;76;13;0;6;0;12;19;4;4;13;64;13;18;2;2;37;13;1;0;4;5;1;6;1 305;1;0;2;57;0;0;3;0;0;6;2;5;1;7;0;463;4;0;2;1;0;1;6
Sernancelhe; 72;0;0;0;0;0;2;0;0;0;0;1;0;0;3;14;4;0;0;0;0;0;7;1;4;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;29
Serpa; 219;0;0;2;0;0;1;0;0;95;0;1;2;2;3;5;0;0;20;26;0;0;1;0;0;4;39;0;0;1;4;0;0;0;0;0;3;1;1;3;1;0;2;0;0;0;0;0;1;1
Sertã; 244;0;1;0;0;0;6;0;0;0;0;1;0;1;46;86;7;0;1;1;0;0;3;3;0;25;31;0;0;0;2;2;4;2;0;0;2;0;0;2;2;0;2;12;0;0;0;0;1;1
Sesimbra; 703;1;0;20;3;0;6;0;10;3;0;0;1;15;3;7;2;0;10;5;0;0;1;1;1;2;328;0;0;0;16;0;0;2;1;0;5;0;3;1;5;0;243;4;0;0;0;1;2;1
Setúbal;2 141;2;0;27;8;0;4;0;25;13;2;1;7;29;7;27;11;3;83;19;0;1;1;0;0;4;720;0;1;0;45;1;1;2;1;0;7;1;2;5;7;0;1 070;1;0;0;1;0;0;2
Sever do Vouga; 159;2;5;0;0;0;26;1;0;0;0;2;2;0;4;42;14;0;2;0;0;0;4;0;3;5;8;0;0;2;1;2;1;1;0;0;0;1;9;1;0;1;0;0;0;1;1;0;0;18
Silves; 368;0;2;2;0;0;5;0;0;18;0;0;2;4;7;14;1;1;24;150;0;0;0;0;0;5;100;0;0;0;4;0;1;2;0;0;1;13;0;2;2;0;7;0;0;1;0;0;0;0
Sines; 184;0;0;2;0;0;0;0;1;14;0;0;1;0;2;2;0;0;11;31;0;0;0;0;0;0;65;0;0;0;4;0;0;0;0;0;0;0;0;8;3;0;35;5;0;0;0;0;0;0
Sintra;5 754;8;0;74;33;0;20;1;34;20;10;26;26;282;31;63;17;6;58;51;2;2;13;5;2;36;4 338;0;0;8;283;1;4;21;4;1;22;7;11;18;44;0;108;38;2;2;1;1;8;12
Sobral de Monte Agraço; 126;0;0;0;1;0;0;0;0;1;0;0;3;3;1;1;0;1;1;3;0;0;0;0;0;4;84;0;0;0;4;0;0;9;1;0;3;0;0;1;1;0;3;1;0;0;0;0;0;0
Soure; 317;1;0;1;1;0;1;1;0;1;0;1;5;2;1;258;0;0;2;2;0;0;3;0;1;18;4;0;0;1;2;0;3;2;0;0;0;0;0;0;1;0;1;2;0;0;0;0;2;0
Sousel; 71;0;0;2;0;0;1;0;0;3;0;0;1;0;2;1;0;7;14;5;0;0;0;1;0;0;20;0;0;0;0;0;0;0;0;0;5;2;1;1;1;0;3;1;0;0;0;0;0;0
Tábua; 148;0;0;0;0;0;2;0;0;0;0;0;0;0;0;73;13;1;1;0;0;0;3;0;0;4;13;0;0;0;0;0;16;2;0;0;1;0;1;2;0;1;1;0;0;0;1;1;3;9
Tabuaço; 81;0;0;0;0;0;3;0;0;0;1;10;0;0;1;11;1;0;0;2;0;0;3;0;7;0;4;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;11;19
Tarouca; 131;0;0;0;0;0;8;0;0;0;4;11;0;0;2;25;3;0;0;0;2;0;1;0;16;0;9;2;0;5;0;0;0;0;0;0;0;0;11;1;1;0;0;0;0;0;1;0;13;16
Tavira; 360;0;0;2;1;0;0;1;0;17;5;0;0;2;4;11;1;0;21;183;1;1;1;0;0;7;79;0;0;1;7;0;0;0;0;0;3;2;2;0;3;0;2;0;0;0;0;1;0;2
Terras de Bouro; 86;0;1;0;0;0;1;9;0;0;30;7;0;0;1;3;4;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;1;0;0;0;0;0;1;8;1;2;7;2
Tomar; 830;9;1;4;0;0;20;0;0;0;4;0;6;7;21;116;22;1;24;4;0;1;3;0;0;78;157;0;0;0;8;0;0;8;1;0;4;0;4;7;21;0;5;289;0;0;0;0;3;2
Tondela; 421;0;2;1;0;1;30;0;0;1;1;2;1;6;5;95;15;0;1;0;0;0;8;2;4;11;43;2;0;1;2;0;3;1;0;0;1;1;17;0;1;3;0;2;0;0;0;1;8;149
Torre de Moncorvo; 101;0;0;0;0;0;0;0;0;0;4;33;0;0;0;16;4;0;0;0;0;0;2;0;1;1;4;1;0;8;0;1;0;0;0;0;0;0;9;0;0;2;0;0;0;0;1;0;12;2
Torres Novas; 645;9;2;2;0;0;22;0;0;2;7;2;10;1;19;80;33;0;23;10;0;0;1;2;0;72;213;0;0;0;12;1;1;6;0;0;7;1;6;10;35;0;0;53;0;0;0;2;0;1
Torres Vedras;1 131;6;0;4;5;0;8;0;0;3;2;2;31;29;9;31;13;1;30;22;1;0;2;1;0;122;618;1;0;1;32;0;0;54;0;0;5;2;4;39;28;1;8;10;0;0;1;1;3;1
Trancoso; 156;0;1;2;0;0;12;0;0;0;0;6;1;2;9;17;27;0;0;0;0;0;25;0;2;1;21;0;0;0;0;0;3;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;5;17
Trofa; 433;0;1;0;0;0;6;33;0;0;61;3;1;0;1;12;3;0;0;1;3;0;2;0;0;1;13;47;0;2;0;1;1;1;0;1;0;0;175;0;1;0;0;0;2;14;17;21;9;0
Vagos; 355;0;9;0;0;0;102;0;0;0;4;4;2;0;0;112;6;0;2;4;0;0;10;0;4;11;12;3;0;3;1;2;2;3;0;0;3;0;15;5;0;0;0;3;0;1;0;2;1;29
Vale de Cambra; 276;1;3;0;0;0;36;1;0;0;2;1;1;0;1;74;5;0;2;0;0;0;11;0;0;2;17;8;1;0;0;3;4;0;0;0;0;0;61;0;0;0;1;1;0;0;0;9;6;25
Valença; 201;0;0;0;0;0;13;5;0;0;24;9;0;0;0;14;2;0;0;1;2;0;3;0;0;1;8;3;6;5;0;0;0;0;0;3;0;0;6;0;0;0;0;0;46;40;0;1;7;2
Valongo;1 221;0;3;0;0;1;31;20;0;0;40;18;4;0;0;22;5;0;1;2;33;0;1;0;2;1;64;153;3;5;0;1;0;0;1;3;0;0;637;0;0;0;0;2;0;7;31;97;27;6
Valpaços; 185;0;0;0;0;0;4;0;0;0;3;54;0;1;4;14;1;0;1;0;2;0;1;0;1;0;14;1;0;32;0;0;0;0;0;0;0;0;15;0;0;1;0;0;0;0;0;3;32;1
Velas; 64;0;0;0;0;0;4;0;0;0;2;0;1;0;0;4;0;0;1;0;0;0;0;1;0;1;17;4;0;0;1;0;0;2;16;0;0;0;2;4;1;0;0;0;0;0;0;1;1;1
Vendas Novas; 162;0;0;3;1;0;1;0;0;5;1;0;0;1;1;2;2;0;33;5;0;0;0;0;0;1;71;0;0;0;4;0;0;0;0;0;3;3;2;0;6;0;17;0;0;0;0;0;0;0
Viana do Alentejo; 93;0;0;0;0;0;0;0;0;18;0;1;0;2;0;2;2;3;44;3;0;0;0;1;0;2;6;0;0;0;1;0;0;0;0;0;2;2;1;2;0;0;0;0;0;0;0;0;0;1
Viana do Castelo;1 512;0;3;1;3;0;36;60;0;0;122;24;6;3;19;140;22;0;6;4;4;0;10;0;3;12;84;40;38;6;7;0;1;2;0;35;0;0;184;0;1;0;3;1;40;501;6;26;48;11
Vidigueira; 74;0;0;0;0;1;1;0;0;35;0;0;0;0;0;1;0;0;14;8;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;1;0;0;0;0;1;1
Vieira do Minho; 156;0;0;0;0;0;2;8;0;0;71;6;0;0;0;14;0;1;0;0;0;0;2;0;0;0;3;0;1;4;0;0;0;0;0;0;0;0;7;0;1;0;0;0;1;5;0;4;25;1
Vila da Praia da Vitória; 298;0;0;1;0;49;8;2;0;4;5;2;2;0;1;32;3;0;4;3;2;0;0;1;0;5;93;5;0;2;2;0;1;0;22;0;2;1;20;6;3;0;3;0;0;0;2;9;2;1
Vila de Rei; 84;3;0;3;0;0;0;0;0;0;0;1;0;0;15;14;4;0;0;0;0;0;0;3;0;19;16;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;1
Vila do Bispo; 37;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;2;11;0;0;0;0;0;2;11;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;1;0;0;0;0;0;1;0
Vila do Conde; 929;1;3;0;3;0;16;49;0;0;42;17;5;1;7;23;5;0;1;1;3;0;8;0;0;2;32;89;2;3;2;3;0;1;2;12;0;0;398;0;1;0;0;1;1;41;77;46;29;2
Vila do Porto; 81;0;0;0;0;1;2;1;0;0;1;0;0;0;1;9;1;0;1;1;0;0;0;0;0;1;29;0;0;0;1;0;0;2;23;0;1;0;4;0;0;0;0;0;0;0;0;1;1;0
Vila Flor; 90;1;0;0;0;0;1;0;0;0;0;23;0;0;0;11;4;0;0;0;1;0;0;0;0;0;4;2;0;12;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;22;1
Vila Franca de Xira;1 951;8;0;11;13;0;4;0;2;6;5;4;15;61;7;14;10;3;20;19;1;0;1;2;0;12;1 427;0;0;3;50;0;0;19;0;0;11;1;0;27;137;1;31;14;1;1;0;0;5;5
Vila Franca do Campo; 145;0;0;0;0;10;0;0;0;0;1;0;0;0;1;6;2;0;1;1;1;1;0;0;0;1;9;0;0;0;2;0;0;0;101;0;0;0;5;0;1;0;0;0;0;0;1;1;0;0
Vila Nova da Barquinha; 109;1;0;0;0;0;3;0;0;1;0;0;0;0;2;5;9;0;6;2;0;0;1;0;0;5;29;0;0;0;5;0;0;2;0;0;4;1;1;4;5;0;0;22;0;0;0;1;0;0
Vila Nova de Cerveira; 134;0;0;0;0;0;7;2;0;0;11;4;0;1;1;19;2;0;0;1;0;0;0;0;0;1;6;2;4;2;0;0;0;0;0;2;0;0;13;0;0;0;0;0;20;27;0;1;7;1
Vila Nova de Famalicão;1 799;1;5;1;0;0;42;246;0;1;439;49;6;5;6;87;24;0;4;1;28;0;18;0;2;10;56;78;6;13;1;1;2;0;2;19;0;0;376;1;1;0;1;0;12;97;25;49;73;11
Vila Nova de Foz Côa; 83;0;0;0;0;0;5;0;0;0;0;11;0;4;1;15;4;0;0;0;0;0;10;0;0;1;6;0;0;3;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;5;13
Vila Nova de Gaia;3 799;0;26;1;5;1;291;23;0;4;84;33;9;6;4;92;32;3;7;9;34;0;5;2;3;9;165;491;0;13;3;11;0;3;0;10;5;0;1 934;1;1;1;0;2;2;11;124;256;65;18
Vila Nova de Paiva; 90;0;0;0;0;0;8;0;0;0;0;1;0;0;0;20;3;0;1;0;0;0;3;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;42
Vila Nova de Poiares; 93;0;0;0;0;0;0;0;0;0;0;0;1;1;0;74;1;0;0;0;0;0;0;0;0;1;5;0;1;0;0;0;5;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0
Vila Pouca de Aguiar; 175;0;0;0;0;0;1;2;0;0;7;21;0;0;1;28;7;0;0;0;0;0;2;0;5;0;4;1;0;10;0;0;0;0;0;0;0;0;13;0;0;1;0;0;0;0;0;4;66;2
Vila Real;1 287;0;0;0;0;2;19;1;0;0;27;91;4;7;4;72;13;0;1;4;1;0;5;1;11;1;50;13;0;30;2;0;1;2;0;0;1;0;97;0;0;0;1;1;0;2;3;21;792;7
Vila Real de Santo António; 240;1;0;4;0;0;0;0;0;31;0;0;1;1;1;8;1;0;7;117;0;0;2;0;0;3;49;0;0;1;3;0;0;0;0;0;1;2;1;1;0;0;5;0;0;0;0;0;0;0
Vila Velha de Ródão; 15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;1;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vila Verde; 731;0;2;1;0;0;11;180;0;0;262;15;0;0;4;31;6;0;2;1;1;0;2;0;2;4;14;3;8;5;0;1;1;0;0;4;1;0;19;0;0;0;0;1;15;94;3;9;22;7
Vila Viçosa; 126;0;0;0;0;0;1;0;0;4;0;0;2;2;7;1;2;5;40;6;0;0;0;1;0;0;30;0;0;0;2;0;0;0;0;0;15;0;0;1;1;0;2;2;0;0;0;0;2;0
Vimioso; 57;0;0;0;0;0;0;1;0;0;0;34;0;0;0;5;4;0;0;0;2;0;1;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0
Vinhais; 84;0;0;0;0;0;2;0;0;1;4;51;0;0;0;2;2;1;0;0;0;0;1;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;6;0
Viseu;2 439;1;4;3;7;0;142;2;0;0;10;7;14;14;21;435;92;0;7;4;2;0;45;3;12;35;222;5;1;4;19;2;2;3;2;0;3;0;99;5;3;11;0;3;0;1;3;11;36;1 144
Vizela; 375;0;1;0;0;0;10;15;0;0;89;22;0;0;1;25;4;0;0;1;25;0;1;0;2;6;1;3;0;16;0;0;1;2;0;0;0;0;47;0;0;1;0;0;2;13;0;11;73;3
Vouzela; 156;0;0;0;0;0;17;0;0;0;0;2;0;0;6;37;3;0;0;0;0;0;9;0;0;3;5;0;1;2;0;0;0;2;0;0;0;0;5;0;0;1;1;0;0;0;0;3;5;54
