;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Coimbra;Covilhã;Elvas;Évora;Faro;Felgueiras;Funchal;Guarda;Idanha-a-Nova;Lamego;Leiria;Lisboa;Matosinhos;Melgaço;Mirandela;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santarém;Seia;Setúbal;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Gaia;Vila Real;Viseu
Arraiolos; 142;0;0;1;1;0;1;0;0;2;0;0;0;3;4;3;2;2;78;3;0;0;0;1;0;0;30;0;0;0;0;0;0;0;0;0;6;0;2;1;0;0;2;0;0;0;0;0;0;0
Arronches; 51;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;6;7;1;0;0;1;0;0;2;8;0;0;0;0;0;0;0;0;0;17;0;0;1;0;0;2;0;0;0;0;0;0;0
Arruda dos Vinhos; 242;0;0;4;1;0;0;0;0;0;0;0;4;9;1;3;1;0;2;2;0;0;0;0;0;0;177;0;0;1;4;0;0;3;0;0;3;0;0;6;16;0;4;1;0;0;0;0;0;0
Aveiro;1 749;1;108;0;4;0;823;2;1;0;11;18;6;9;15;335;38;0;3;4;2;0;28;0;8;19;112;4;1;4;10;18;5;5;2;1;2;0;66;7;3;5;1;1;1;0;3;4;7;52
Avis; 50;0;0;1;0;0;0;0;0;4;0;0;0;1;5;2;0;0;12;3;0;0;0;3;0;3;9;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0
Azambuja; 277;3;0;1;0;0;2;0;0;1;0;0;4;3;3;4;4;1;5;4;1;0;1;0;0;12;135;0;0;0;4;0;0;8;1;0;2;0;0;11;57;0;2;6;0;0;0;0;1;1
Baião; 246;0;0;0;0;0;1;1;0;0;5;34;1;0;1;27;5;0;0;0;9;0;0;1;11;1;4;19;0;6;0;0;0;0;0;0;0;0;50;0;0;0;0;1;0;0;2;8;49;10
Barcelos;2 140;2;6;0;0;0;41;557;0;0;446;46;4;3;9;141;28;0;5;7;10;0;11;1;1;12;40;27;12;19;1;1;2;1;0;19;1;0;179;0;0;2;0;3;50;242;6;40;147;18
Barrancos; 20;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;10;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Barreiro;1 297;1;0;18;1;0;0;1;175;6;0;4;3;17;3;8;1;0;21;15;0;0;1;0;0;2;632;1;0;0;20;0;5;1;1;0;7;2;0;2;4;0;339;5;0;0;0;0;0;1
Batalha; 320;1;0;1;1;0;6;0;0;0;1;2;8;1;5;28;5;0;3;3;0;0;2;0;1;140;67;1;0;0;6;0;0;11;0;0;4;0;2;4;4;0;2;6;0;0;0;0;3;2
Beja; 750;0;0;4;0;0;1;0;0;395;0;0;2;5;3;13;3;1;77;38;0;0;1;0;0;5;170;0;0;1;7;0;0;0;1;1;4;0;1;4;0;0;8;3;0;0;0;0;2;0
Belmonte; 97;0;0;0;0;0;2;0;0;0;0;1;0;1;17;8;37;0;3;0;0;0;12;3;0;0;7;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1
Benavente; 394;2;0;3;1;1;3;0;0;1;1;2;7;6;9;13;6;0;17;4;0;0;2;0;0;11;216;0;0;0;8;0;0;1;0;0;5;2;1;10;46;0;9;6;0;0;0;0;1;0
Bombarral; 191;1;0;3;1;0;3;0;0;1;1;0;11;2;2;11;3;0;5;4;0;0;1;0;0;26;76;0;0;0;3;0;0;11;0;0;1;2;3;6;13;0;1;0;0;0;0;0;0;0
Borba; 99;0;0;0;0;0;0;0;0;2;0;0;0;2;4;1;1;7;22;4;0;0;2;0;0;0;21;0;0;0;2;0;0;0;0;0;17;0;2;1;1;0;10;0;0;0;0;0;0;0
Boticas; 45;0;0;0;0;0;1;0;0;0;4;15;0;0;0;4;0;0;0;0;1;0;2;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;12;0
Braga;3 716;1;2;1;4;0;34;748;0;5;1 907;49;2;17;9;160;31;0;5;8;10;2;4;0;1;12;102;22;39;18;5;1;3;0;3;31;3;0;169;1;2;2;2;4;25;159;8;24;67;14
Bragança;2 338;0;1;0;1;0;20;3;0;0;20;1 895;2;1;5;69;27;0;0;4;0;0;6;0;0;3;22;4;0;138;1;1;0;0;1;0;1;3;59;0;0;0;0;1;0;1;1;7;38;3
Cabeceiras de Basto; 228;0;0;0;0;0;5;3;0;0;46;41;0;0;3;15;0;0;0;0;4;0;4;0;2;3;10;3;0;9;0;0;0;1;0;0;0;0;14;0;0;0;0;0;0;4;1;10;48;2
Cadaval; 168;0;0;1;0;0;0;0;0;2;1;0;6;0;3;9;0;0;9;4;0;0;1;1;0;29;65;0;0;0;4;0;1;5;0;0;2;0;1;3;15;0;1;4;0;0;0;1;0;0
Caldas da Rainha; 950;4;0;6;2;0;20;2;0;2;2;1;112;13;17;63;8;1;21;7;1;0;3;0;0;191;302;0;0;3;18;1;0;59;1;0;3;0;8;29;30;0;2;11;0;0;1;2;2;2
Calheta (R.A.A.); 56;0;0;1;0;2;1;0;0;0;3;0;0;1;1;13;0;0;1;2;0;0;0;0;0;2;19;0;0;0;0;0;0;1;7;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Calheta (R.A.M.); 111;0;0;0;0;0;0;0;0;0;3;1;1;0;0;9;2;0;1;3;0;51;0;0;2;4;11;2;0;0;1;0;0;2;0;0;1;0;7;4;2;0;1;0;0;0;1;1;1;0
