PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Música;9214;Licenciatura;186;106;80;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Novas Tecnologias da Comunicação;9215;Licenciatura;238;156;82;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Psicologia;9219;Licenciatura;127;29;98;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Química;9223;Licenciatura;52;15;37;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Tradução;9252;Licenciatura;119;47;72;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Turismo;9254;Licenciatura;107;37;70;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura;126;27;99;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Civil;9360;MestradoIntegrado;203;139;64;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia de Computadores e Telemática;9361;MestradoIntegrado;400;354;46;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Electrónica e Telecomunicações;9365;MestradoIntegrado;527;476;51;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Física;9368;MestradoIntegrado;135;94;41;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Mecânica;9369;MestradoIntegrado;527;479;48;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Química;9461;MestradoIntegrado;230;71;159;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia do Ambiente;9508;MestradoIntegrado;210;94;116;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Educação Básica;9853;Licenciatura;199;6;193;2014/15
Universidade de Aveiro;0300;Instituto Superior de Contabilidade e Administração de Aveiro;3011;Publico;Politecnico;Marketing (regime pós-laboral);8005;Licenciatura;84;42;42;2014/15
Universidade de Aveiro;0300;Instituto Superior de Contabilidade e Administração de Aveiro;3011;Publico;Politecnico;Contabilidade (regime de ensino a distância);8449;Licenciatura;44;11;33;2014/15
Universidade de Aveiro;0300;Instituto Superior de Contabilidade e Administração de Aveiro;3011;Publico;Politecnico;Contabilidade;9056;Licenciatura;301;102;199;2014/15
Universidade de Aveiro;0300;Instituto Superior de Contabilidade e Administração de Aveiro;3011;Publico;Politecnico;Finanças;9140;Licenciatura;84;46;38;2014/15
Universidade de Aveiro;0300;Instituto Superior de Contabilidade e Administração de Aveiro;3011;Publico;Politecnico;Marketing;9205;Licenciatura;91;44;47;2014/15
Universidade de Aveiro;0300;Instituto Superior de Contabilidade e Administração de Aveiro;3011;Publico;Politecnico;Contabilidade (regime pós-laboral);9869;Licenciatura;129;51;78;2014/15
Universidade de Aveiro;0300;Instituto Superior de Contabilidade e Administração de Aveiro;3011;Publico;Politecnico;Finanças (regime pós-laboral);9888;Licenciatura;54;33;21;2014/15
Universidade de Aveiro;0300;Escola Superior de Tecnologia e Gestão de Águeda;3012;Publico;Politecnico;Tecnologias da Informação;8016;Licenciatura;73;65;8;2014/15
Universidade de Aveiro;0300;Escola Superior de Tecnologia e Gestão de Águeda;3012;Publico;Politecnico;Gestão da Qualidade;8405;Licenciatura;82;38;44;2014/15
Universidade de Aveiro;0300;Escola Superior de Tecnologia e Gestão de Águeda;3012;Publico;Politecnico;Gestão Pública e Autárquica;9769;Licenciatura;51;15;36;2014/15
Universidade de Aveiro;0300;Escola Superior de Tecnologia e Gestão de Águeda;3012;Publico;Politecnico;Técnico Superior de Secretariado;9805;Licenciatura;84;20;64;2014/15
Universidade de Aveiro;0300;Escola Superior de Tecnologia e Gestão de Águeda;3012;Publico;Politecnico;Gestão Comercial;L021;Licenciatura;106;54;52;2014/15
Universidade de Aveiro;0300;Escola Superior de Saúde de Aveiro;3013;Publico;Politecnico;Enfermagem;9500;Licenciatura;297;58;239;2014/15
Universidade de Aveiro;0300;Escola Superior de Saúde de Aveiro;3013;Publico;Politecnico;Fisioterapia;9504;Licenciatura;159;41;118;2014/15
Universidade de Aveiro;0300;Escola Superior de Saúde de Aveiro;3013;Publico;Politecnico;Gerontologia;9833;Licenciatura;75;11;64;2014/15
Universidade de Aveiro;0300;Escola Superior de Saúde de Aveiro;3013;Publico;Politecnico;Terapia da Fala;9890;Licenciatura;96;4;92;2014/15
Universidade de Aveiro;0300;Escola Superior de Design, Gestão e Tecnologias da Produção de Aveiro-Norte;3014;Publico;Politecnico;Tecnologia e Design de Produto;9245;Licenciatura;118;74;44;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Química Medicinal;8408;Licenciatura;25;9;16;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Engenharia Aeronáutica;8470;MestradoIntegrado;267;218;49;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Bioquímica;9015;Licenciatura;139;36;103;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Biotecnologia;9016;Licenciatura;140;61;79;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Ciência Política e Relações Internacionais;9020;Licenciatura;145;79;66;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Ciências da Comunicação;9023;Licenciatura;205;60;145;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Ciências da Cultura;9025;Licenciatura;45;13;32;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Cinema;9048;Licenciatura;137;71;66;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Design de Moda;9071;Licenciatura;155;14;141;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Design Industrial;9074;Licenciatura;128;78;50;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Design Multimédia;9075;Licenciatura;154;91;63;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Economia;9081;Licenciatura;190;104;86;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Engenharia Electromecânica;9105;Licenciatura;169;159;10;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Engenharia Electrotécnica e de Computadores;9112;Licenciatura;49;47;2;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Engenharia Informática;9119;Licenciatura;243;219;24;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Gestão;9147;Licenciatura;279;149;130;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Marketing;9205;Licenciatura;96;47;49;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Optometria - Ciências da Visão;9216;Licenciatura;144;41;103;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Psicologia;9219;Licenciatura;176;22;154;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Sociologia;9240;Licenciatura;151;36;115;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Arquitectura;9257;MestradoIntegrado;386;200;186;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura;160;48;112;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Engenharia Civil;9360;MestradoIntegrado;166;119;47;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Ciências Farmacêuticas;9494;MestradoIntegrado;279;58;221;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Bioengenharia;9540;Licenciatura;64;30;34;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Ciências do Desporto;9707;Licenciatura;246;199;47;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Medicina;9813;MestradoIntegrado;863;287;576;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Estudos Portugueses e Espanhóis;9918;Licenciatura;67;17;50;2014/15
Universidade da Beira Interior;0400;Universidade da Beira Interior;0400;Publico;Universitario;Informática Web;L042;Licenciatura;26;24;2;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Química Medicinal;8408;Licenciatura;88;20;68;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Biologia;9011;Licenciatura;426;164;262;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Bioquímica;9015;Licenciatura;206;57;149;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia e Gestão Industrial;9104;Licenciatura;182;111;71;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia Informática;9119;Licenciatura;457;399;58;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Física;9141;Licenciatura;77;56;21;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Geologia;9146;Licenciatura;126;72;54;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Matemática;9209;Licenciatura;154;74;80;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Química;9223;Licenciatura;126;46;80;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Arquitectura;9257;MestradoIntegrado;469;197;272;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia Biomédica;9359;MestradoIntegrado;254;117;137;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia Civil;9360;MestradoIntegrado;519;350;169;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia Electrotécnica e de Computadores;9367;MestradoIntegrado;653;593;60;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia Física;9368;MestradoIntegrado;109;84;25;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia Mecânica;9369;MestradoIntegrado;611;538;73;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Antropologia;9448;Licenciatura;180;63;117;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia Química;9461;MestradoIntegrado;261;103;158;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Engenharia do Ambiente;9508;MestradoIntegrado;174;78;96;2014/15
Universidade de Coimbra;0500;Faculdade de Ciências e Tecnologia;0501;Publico;Universitario;Design e Multimédia;9891;Licenciatura;187;82;105;2014/15
Universidade de Coimbra;0500;Faculdade de Direito;0502;Publico;Universitario;Administração Público-Privada;8067;Licenciatura;194;90;104;2014/15
Universidade de Coimbra;0500;Faculdade de Direito;0502;Publico;Universitario;Direito;9078;Licenciatura;2188;749;1439;2014/15
Universidade de Coimbra;0500;Faculdade de Economia;0503;Publico;Universitario;Economia;9081;Licenciatura;796;401;395;2014/15
Universidade de Coimbra;0500;Faculdade de Economia;0503;Publico;Universitario;Gestão;9147;Licenciatura;421;215;206;2014/15
Universidade de Coimbra;0500;Faculdade de Economia;0503;Publico;Universitario;Relações Internacionais;9229;Licenciatura;268;115;153;2014/15
Universidade de Coimbra;0500;Faculdade de Economia;0503;Publico;Universitario;Sociologia;9240;Licenciatura;149;54;95;2014/15
Universidade de Coimbra;0500;Faculdade de Farmácia;0504;Publico;Universitario;Ciências Farmacêuticas;9494;MestradoIntegrado;931;237;694;2014/15
Universidade de Coimbra;0500;Faculdade de Farmácia;0504;Publico;Universitario;Ciências Bioanalíticas;9819;Licenciatura;77;10;67;2014/15
Universidade de Coimbra;0500;Faculdade de Farmácia;0504;Publico;Universitario;Farmácia Biomédica;9832;Licenciatura;83;14;69;2014/15
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Português;8393;Licenciatura;145;46;99;2014/15
Universidade de Coimbra;0500;Faculdade de Letras;0505;Publico;Universitario;Estudos Artísticos;9132;Licenciatura;153;58;95;2014/15
