,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Macedo de Cavaleiros,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Alpiarça,0.00,0.00,15.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,2.00,0.00,7.00,1.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,8.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,2.00,0.00,5.00,0.00,38.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Alter do Chão,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,3.00,6.00,0.00,12.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Alvaiázere,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,0.00,64.00,6.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,22.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,2.00,0.00,4.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Alvito,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,15.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amadora,3.00,0.00,282.00,8.00,1.00,15.00,0.00,10.00,4.00,9.00,5.00,8.00,90.00,8.00,0.00,30.00,10.00,0.00,0.00,20.00,0.00,17.00,0.00,0.00,2.00,0.00,0.00,2.00,1.00,10.00,4029.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,47.00,194.00,0.00,1.00,0.00,1.00,1.00,0.00,7.00,3.00,17.00,0.00,4.00,0.00,22.00,0.00,1.00,23.00,0.00,2.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00
Amarante,0.00,2.00,2.00,1.00,0.00,35.00,10.00,0.00,0.00,109.00,100.00,5.00,0.00,4.00,1.00,122.00,38.00,0.00,0.00,2.00,5.00,2.00,129.00,0.00,8.00,0.00,0.00,0.00,7.00,1.00,38.00,0.00,0.00,42.00,0.00,62.00,0.00,20.00,0.00,3.00,0.00,1.00,36.00,0.00,1.00,3.00,0.00,0.00,569.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,6.00,0.00,1.00,51.00,278.00,23.00
Amares,0.00,0.00,0.00,0.00,0.00,13.00,68.00,0.00,0.00,268.00,21.00,1.00,0.00,3.00,0.00,39.00,4.00,0.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00,18.00,0.00,0.00,0.00,0.00,3.00,3.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,42.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,2.00,0.00,11.00,3.00,16.00,9.00
Anadia,0.00,21.00,2.00,0.00,0.00,141.00,0.00,1.00,1.00,5.00,5.00,8.00,2.00,7.00,0.00,370.00,20.00,0.00,0.00,6.00,0.00,3.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,14.00,68.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,2.00,5.00,2.00,2.00,2.00,1.00,1.00,3.00,0.00,49.00,0.00,2.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,3.00,4.00,32.00
Angra do Heroísmo,0.00,0.00,31.00,1.00,237.00,31.00,0.00,0.00,6.00,15.00,3.00,8.00,0.00,4.00,0.00,47.00,19.00,0.00,0.00,10.00,0.00,6.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,11.00,330.00,0.00,0.00,5.00,0.00,2.00,0.00,6.00,0.00,14.00,0.00,0.00,0.00,4.00,143.00,0.00,1.00,0.00,71.00,0.00,2.00,0.00,4.00,0.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,8.00,9.00,1.00
Ansião,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.00,0.00,181.00,6.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,43.00,17.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,5.00,0.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
