,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2018/19 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Almodôvar,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,1.00,0.00,0.00,0.00,1.00,0.00,6.00,0.00,0.00,1.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,1.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alpiarça,3.00,0.00,6.00,1.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,2.00,2.00,3.00,2.00,0.00,9.00,4.00,1.00,13.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,1.00,3.00,0.00,35.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alter do Chão,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,2.00,0.00,2.00,4.00,9.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alvaiázere,0.00,1.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,5.00,0.00,64.00,5.00,0.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,2.00,1.00,0.00,3.00,0.00,1.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alvito,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,12.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amadora,1.00,1.00,257.00,19.00,0.00,0.00,13.00,2.00,29.00,7.00,5.00,15.00,10.00,101.00,14.00,0.00,26.00,14.00,5.00,19.00,0.00,15.00,0.00,0.00,5.00,0.00,5.00,0.00,14.00,4132.00,0.00,0.00,4.00,0.00,6.00,42.00,171.00,1.00,1.00,0.00,0.00,5.00,1.00,0.00,6.00,0.00,18.00,3.00,0.00,18.00,2.00,40.00,0.00,2.00,8.00,0.00,1.00,2.00,0.00,0.00,0.00,2.00,1.00,2.00
Amarante,2.00,3.00,2.00,0.00,0.00,0.00,39.00,14.00,0.00,0.00,111.00,146.00,6.00,0.00,9.00,0.00,164.00,26.00,0.00,2.00,12.00,1.00,118.00,0.00,1.00,1.00,0.00,6.00,6.00,45.00,48.00,0.00,58.00,0.00,31.00,0.00,1.00,2.00,1.00,31.00,22.00,3.00,1.00,2.00,1.00,0.00,537.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,2.00,2.00,14.00,0.00,1.00,35.00,231.00,32.00
Amares,0.00,0.00,0.00,0.00,15.00,0.00,12.00,90.00,0.00,0.00,264.00,13.00,0.00,0.00,3.00,0.00,16.00,6.00,0.00,1.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,4.00,14.00,3.00,0.00,4.00,3.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,21.00,1.00,0.00,7.00,2.00,17.00,4.00
Anadia,2.00,18.00,4.00,0.00,0.00,0.00,124.00,0.00,1.00,0.00,5.00,3.00,7.00,1.00,2.00,0.00,423.00,34.00,0.00,7.00,0.00,3.00,0.00,0.00,11.00,0.00,0.00,3.00,18.00,75.00,3.00,0.00,6.00,0.00,0.00,0.00,1.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,63.00,0.00,0.00,1.00,3.00,5.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,0.00,0.00,4.00,11.00,25.00
Angra do Heroísmo,0.00,1.00,34.00,1.00,0.00,182.00,17.00,0.00,0.00,5.00,16.00,2.00,9.00,1.00,7.00,0.00,87.00,12.00,1.00,12.00,0.00,6.00,2.00,0.00,4.00,0.00,0.00,0.00,25.00,309.00,4.00,0.00,5.00,0.00,5.00,0.00,9.00,1.00,0.00,0.00,0.00,5.00,83.00,0.00,1.00,0.00,65.00,4.00,0.00,5.00,2.00,11.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,9.00,2.00
